g567_evaluation_uid,g567_dataset_row_id,split,map,map_family,agents,budget_ms,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
30d434f4f20f598b130c372120ea112cb5f8d490a77698d6aecd8b64b077d0c7,g567_stage2a_label_train_00037,LABEL_TRAIN,g567-spiral-40x40-a-v1,spiral,128,30000,False,False,False,False,False
de5dd2d3f904b958268ab4e49709ccb22fc8c3043b58aa9b1b3718acdc7e6524,g567_stage2a_label_train_00005,LABEL_TRAIN,g567-string-32x24-a-v0,irregular_bottleneck,32,30000,False,False,False,False,False
38179254c7e235354a84a04fd87fde82c3af9053522a22f46831dd4be8a24c9c,g567_stage2a_label_train_00006,LABEL_TRAIN,g567-string-32x24-a-v2,irregular_bottleneck,32,30000,False,False,False,False,False
4861bf954636ef004e65b78f0795a0febf6ff16827f052e5aba16aa6134bbb27,g567_stage2a_label_train_00007,LABEL_TRAIN,g567-tree-32x32-a-v1,tree,32,30000,False,False,False,False,False
3c7e491378b7e9d4cac0eaa46d9032f0a481e6355195de0bf42cac8e3a064008,g567_stage2a_label_train_00008,LABEL_TRAIN,g567-tree-32x32-a-v1,tree,32,30000,False,False,False,False,False
d55019a7a1001e99934f076a74a2c20fba9111b36cc2d5f4bc664bdecff1e85a,g567_stage2a_label_train_00009,LABEL_TRAIN,g567-tree-32x32-a-v1,tree,32,30000,False,False,False,False,False
d16026f5ae341b5a794cb224e39aa3e401d8dfaa8491ab0af5a90a8a97379c8a,g567_stage2a_label_train_00010,LABEL_TRAIN,g567-tree-32x32-a-v3,tree,32,30000,False,False,False,False,False
be96c8b4acd91e13008eeb5f11a6c85f53aac0c22902b3a94903e8b8777225a4,g567_stage2a_label_train_00017,LABEL_TRAIN,g567-tunnel-24x24-a-v0,tunnel,64,30000,False,False,False,False,False
9dce004eb034547a459819ec5488670fb456a36fef5c2a7c74cc74f9400f9e0f,g567_stage2a_label_train_00019,LABEL_TRAIN,g567-tunnel-24x24-a-v1,tunnel,64,30000,False,False,False,False,False
48f4509565f17d0127ff8b7159e9aaa80047e0ce20bddeafd6213acef21dbd9c,g567_stage2a_label_train_00018,LABEL_TRAIN,g567-tunnel-24x24-a-v1,tunnel,64,30000,False,False,False,False,False
bf7aa818b739ceb7d8fde3cd2f0f61b396b65a0a77decd7ce34b6aa7f5c0b894,g567_stage2a_label_train_00024,LABEL_TRAIN,g567-tunnel-64x32-a-v0,tunnel,64,30000,False,False,False,False,False
39bbbc2f5d36ae84e045718bffdfcf9df85243d06a07f2ee8d631b4fab0bac95,g567_stage2a_label_train_00025,LABEL_TRAIN,g567-tunnel-64x32-a-v3,tunnel,64,30000,False,False,False,False,False
f06fe440359e7cef85e7095184cf897b848e25717d68db19ae5615ebac3db9aa,g567_stage2a_label_train_00016,LABEL_TRAIN,g567-warehouse-20x10-a-v1,warehouse,64,30000,False,False,False,False,False
fc0bde233826d9369788d1ee6343304e308ad3f6a5cfc3d6459ee7c4efa843d6,g567_stage2a_label_train_00022,LABEL_TRAIN,g567-warehouse-32x24-a-v2,warehouse,64,30000,False,False,False,False,False
7fd7a4d00dea7e1c0d65cbdfc378cebf3f0b406235b2392797fdcfd3a2c6f1f5,g567_stage2a_label_train_00030,LABEL_TRAIN,g567-warehouse-48x32-a-v1,warehouse,64,30000,False,False,False,False,False
23114d764dd58d8d1c4f555dbb8d5b492a7975a9c63fac7c0bb46fcbcea880fe,g567_stage2a_label_train_00031,LABEL_TRAIN,g567-warehouse-48x32-a-v2,warehouse,64,30000,False,False,False,False,False
8a8402fd0be288cfbfff5933d9a73e9aa3f295055727f734f644f879fc7a42e9,g567_stage2a_label_train_00027,LABEL_TRAIN,room_32_32_4,room,64,30000,False,False,False,False,False
607936e438760b6771f55a21827ce5a81e87c527345c98c45e1064c304167087,g567_stage2a_label_train_00042,LABEL_TRAIN,sortation_small,public_other,128,30000,False,False,False,False,False
376b4083535265a5a7a38627f62015047222a57b7f2a1f526287873fb18d488d,g567_stage2a_label_train_00041,LABEL_TRAIN,sortation_small,public_other,128,30000,False,False,False,False,False
