contract_vector_id,vector_family,changed_field,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,executed,reason
g561_contract_011,field_upper_bound,theta_alpha_flow_commit_progress,1.25,1.1580041646957397,1.25,0.75,0.75,1.5,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,False,planned_for_server_materialization_contract
g561_contract_012,field_lower_bound,theta_alpha_flow_wait_progress,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.0,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,False,planned_for_server_materialization_contract
g561_contract_013,field_upper_bound,theta_alpha_flow_wait_progress,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,1.25,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,False,planned_for_server_materialization_contract
g561_contract_014,field_lower_bound,theta_rho_cong_decay,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.8999999761581421,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,False,planned_for_server_materialization_contract
g561_contract_015,field_upper_bound,theta_rho_cong_decay,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,1.0,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,False,planned_for_server_materialization_contract
g561_contract_016,field_lower_bound,theta_rho_flow_decay,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,0.8999999761581421,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,False,planned_for_server_materialization_contract
g561_contract_017,field_upper_bound,theta_rho_flow_decay,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,False,planned_for_server_materialization_contract
g561_contract_018,field_lower_bound,theta_lambda_cong,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.5,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,False,planned_for_server_materialization_contract
g561_contract_019,field_upper_bound,theta_lambda_cong,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,1.5,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,False,planned_for_server_materialization_contract
g561_contract_020,field_lower_bound,theta_lambda_flow,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.0,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,False,planned_for_server_materialization_contract
g561_contract_021,field_upper_bound,theta_lambda_flow,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,1.5,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,False,planned_for_server_materialization_contract
g561_contract_022,field_lower_bound,theta_flow_shield_beta,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.0,0.8590060472488403,1.0,10.79326343536377,False,planned_for_server_materialization_contract
g561_contract_023,field_upper_bound,theta_flow_shield_beta,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.800000011920929,0.8590060472488403,1.0,10.79326343536377,False,planned_for_server_materialization_contract
g561_contract_024,field_lower_bound,theta_max_flow_shield,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.25,1.0,10.79326343536377,False,planned_for_server_materialization_contract
g561_contract_025,field_upper_bound,theta_max_flow_shield,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,1.5,1.0,10.79326343536377,False,planned_for_server_materialization_contract
g561_contract_026,field_lower_bound,theta_min_edge_cost,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,0.25,10.79326343536377,False,planned_for_server_materialization_contract
g561_contract_027,field_upper_bound,theta_min_edge_cost,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,False,planned_for_server_materialization_contract
g561_contract_028,field_lower_bound,theta_max_edge_cost,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,8.0,False,planned_for_server_materialization_contract
g561_contract_029,field_upper_bound,theta_max_edge_cost,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,12.0,False,planned_for_server_materialization_contract
g561_contract_030,g556_anchor,all,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,False,planned_for_server_materialization_contract
