g567_evaluation_uid,g567_dataset_row_id,split,map,map_family,agents,budget_ms,contexts,candidates,safe_candidates,primary_safe_AB_candidates,pareto_safe_AB_candidates,joint_positive_AB_candidates,joint_positive_ABC_candidates,harmful_candidates,both_fail_uninformative_candidates,single_run_boundary_uncertain_candidates,primary_training_candidates,contexts_with_zero_primary_training_candidates,contexts_with_only_anchor_like_target,mean_primary_training_candidates_per_context,median_primary_training_candidates_per_context
01cf26253283b0a6a41504c0e3bcd8f2696b2f42ee6f3f5ac37570de696acab2,g567_gate3b_label_train_01550,LABEL_TRAIN,g567-large-maze-192x128-a-v0,large_maze,3000,60000,1,21,21,21,1,0,0,20,0,0,1,0,1,1,1
01d3532a122ea2697734f20ffd5ee7d40ea5efd6a3fab2d9edb872bc4bf85360,g567_gate3b_label_train_01258,LABEL_TRAIN,room_64_64_16,room,48,30000,1,21,21,21,1,0,0,0,0,0,1,0,0,1,1
020cbe192649b0b316f0a852688eae5eab3a1cbb41f54c29119a46a264ed8521,g567_gate3b_label_train_00492,LABEL_TRAIN,room_64_64_8,room,64,30000,1,21,21,21,2,0,0,0,0,0,2,0,0,2,2
020cdaa0bd2b820a9fbb541c95c38a8e1bac7c8940aefad6163dee2ed006fdb8,g567_gate3b_label_train_01855,LABEL_TRAIN,room_32_32_4,room,48,30000,1,21,21,21,1,0,0,1,0,0,1,0,1,1,1
021dc365aacd833fb7e90a2d4c8ce1bee2a3d6495c7bd93a6833022b829f3a6b,g567_gate3b_calibration_00121,CALIBRATION,empty_16_16,empty,24,30000,1,21,21,21,1,1,0,0,0,0,1,0,1,1,1
025c27e202643ec38b223a58b249ba0a7283d428257d78b41f146f126b54abb5,g567_gate3b_label_train_01481,LABEL_TRAIN,g567-large-maze-192x128-a-v3,large_maze,2000,40000,1,21,21,21,1,18,0,1,0,0,1,0,1,1,1
02b92f3c6bf50d769250a64e8c7fd8af6889b367eeb685f9fcf7e0c2dedc3f2a,g567_gate3b_calibration_00211,CALIBRATION,empty_32_32,empty,64,30000,1,21,21,21,1,0,0,0,0,0,1,0,1,1,1
02f15f2c1bc5e91787b2fa031fee009b5e6560bc9dfc9c67182de2d6484ec8c3,g567_gate3b_label_train_01721,LABEL_TRAIN,g567-room-64x48-b-v3,room,512,30000,1,21,21,21,1,0,0,4,0,0,1,0,0,1,1
02f65ea981f2c9e9636067244afc6dcb53e703961a9fdcb9462f34aaf0e57113,g567_gate3b_calibration_00187,CALIBRATION,empty_32_32,empty,32,30000,1,21,21,21,2,0,0,0,0,0,2,0,0,2,2
030387c0a5d4f56a25ad9d757dce6b2128930984b1efbd0546ec3138b3a058bd,g567_gate3b_label_train_00332,LABEL_TRAIN,warehouse_10_20_10_2_2,warehouse,16,30000,1,21,21,21,1,0,0,0,0,0,1,0,1,1,1
0338041e59130bcfce7025b6f615d0c584f9b57537b7bd0c233d5a407e11cddc,g567_gate3b_calibration_00001,CALIBRATION,ht_chantry,game,12,30000,1,21,21,21,21,0,0,0,0,0,21,0,0,21,21
0382a37f3524a7c733ede762b3bf4b0eb5f1133d36ff30130ec60f5db0a9e6f9,g567_gate3b_label_train_00355,LABEL_TRAIN,warehouse_10_20_10_2_2,warehouse,48,30000,1,21,21,21,1,0,0,0,0,0,1,0,0,1,1
03a387053fe9f47540466f76eba38a379bd0fe23988de4f26cbeb48ad39b43d7,g567_gate3b_label_train_00756,LABEL_TRAIN,sortation_small,public_other,256,30000,1,21,21,21,1,0,0,1,0,0,1,0,1,1,1
03b61ff69464a1e3d74fa831da08754d4e26c08c5f82b5a3f0ed1fe0da13fd07,g567_gate3b_label_train_01214,LABEL_TRAIN,room_64_64_16,room,12,30000,1,21,21,21,1,0,0,0,0,0,1,0,1,1,1
03ea6cb69de81b330b47de71db94e7217e7cc17849303e438a35c387430b1efb,g567_gate3b_label_train_01436,LABEL_TRAIN,maze_128_128_2,maze,512,30000,1,21,21,21,1,0,0,0,0,0,1,0,1,1,1
03ee13382eecbf7d980ac3bffb2e92ed066ed1b57e023209e6c8b1994576893a,g567_gate3b_label_train_01145,LABEL_TRAIN,g567-room-48x48-a-v0,room,512,30000,1,21,21,21,1,0,0,16,0,0,1,0,0,1,1
0414db28b7764fb8d5c21eb912468113bdcb6f044488ec9e79ab7dd01932706d,g567_gate3b_calibration_00388,CALIBRATION,g567-large-lanes-192x128-a-v3,large_lanes,2500,40000,1,21,21,21,1,20,0,1,0,0,1,0,1,1,1
04194a8c355dc88eeccd70e7d30bf9beb4e06491bd048e8a416608beee7c5f5e,g567_gate3b_label_train_00270,LABEL_TRAIN,g567-tunnel-64x32-a-v1,tunnel,256,30000,1,21,21,21,21,0,0,0,21,0,21,0,0,21,21
0423c99c3933c0d4562aaf83c0b15711b08e1d7c7633b5bda5dadd15a5b7c54e,g567_gate3b_label_train_01561,LABEL_TRAIN,g567-large-maze-192x128-a-v0,large_maze,3000,60000,1,21,21,21,21,0,0,0,0,0,21,0,0,21,21
0468a715bd8005e4788d17ffc3bc0d394221b8e7b58c14f28fed1286fbe8a211,g567_gate3b_label_train_00526,LABEL_TRAIN,room_64_64_8,room,512,30000,1,21,21,21,0,0,0,21,0,0,0,1,0,0,0
04965f21bfdeffc7d35d82407e7e44c07231a4fd48988ec79ab21f7131572af7,g567_gate3b_label_train_01583,LABEL_TRAIN,sortation_medium,public_other,128,30000,1,21,21,21,1,0,0,0,0,0,1,0,0,1,1
04d716179885440503ffccadd924bc2bdc1827c6432cba4120a1342be60b3f78,g567_gate3b_calibration_00082,CALIBRATION,warehouse_small,warehouse,16,30000,1,21,21,21,21,0,0,0,21,0,21,0,0,21,21
04ee1992e600440ab5d7a0e4311e8f3084b9da80803743dd966640fff07b5742,g567_gate3b_label_train_01629,LABEL_TRAIN,warehouse_10_20_10_2_1,warehouse,48,30000,1,21,21,21,1,0,0,0,0,0,1,0,0,1,1
05593a2a8e5dfa3f90b354c8899378fe6a066a041bee600d531a8adf315e3b06,g567_gate3b_label_train_01120,LABEL_TRAIN,g567-room-48x48-a-v3,room,64,30000,1,21,21,21,3,0,0,0,0,0,3,0,0,3,3
057c0f85379825a6a5a50d9f110461cea610ef8d001760760fa71b5e311b7d57,g567_gate3b_label_train_01304,LABEL_TRAIN,room_64_64_16,room,256,30000,1,21,21,21,1,0,0,2,0,0,1,0,1,1,1
059f09954977352f3e18a968f425db9301265b1cf76a174913d886121aea32d4,g567_gate3b_label_train_00178,LABEL_TRAIN,den312d,game,256,30000,1,21,21,21,1,0,0,16,0,0,1,0,1,1,1
05e5595909727119485a611790672e5e555c773e05ab48401cd61a09a384baab,g567_gate3b_label_train_01066,LABEL_TRAIN,g567-large-empty-128x128-a-v3,large_empty,3000,60000,1,21,21,21,21,0,0,0,21,0,21,0,0,21,21
05f4e1d6328a94b40707ad12e42363a4c5718f0d2f48b2b5377e7e19bf49cf23,g567_gate3b_label_train_00022,LABEL_TRAIN,random_64_64_20,random,16,30000,1,21,21,21,1,0,0,0,0,0,1,0,0,1,1
060dac2031b04de0524199e49e0e119f0aaebaab26082422d7eb9f51cb447852,g567_gate3b_label_train_01700,LABEL_TRAIN,g567-room-64x48-b-v3,room,384,30000,1,21,21,21,1,0,0,0,0,0,1,0,0,1,1
060f01c633b96c7f9293f79710a74f60b7a516a6a2ec92f217a15f5dc8dfb6ee,g567_gate3b_calibration_00065,CALIBRATION,ht_chantry,game,1000,40000,1,21,21,21,1,0,0,17,0,0,1,0,1,1,1
063b6b4f3e7b97f2994777fc0ee8dc75ca7f31b1eed3d58ebffd1b9e647706cf,g567_gate3b_label_train_00334,LABEL_TRAIN,warehouse_10_20_10_2_2,warehouse,16,30000,1,21,21,21,1,0,0,0,0,0,1,0,1,1,1
063c71bd1fad72a9127ed391e0ca1a1a89a0479ee95425fa206d7e2ee39f9c6e,g567_gate3b_label_train_00443,LABEL_TRAIN,room_64_64_8,room,8,30000,1,21,21,21,10,0,0,0,0,0,10,0,0,10,10
0642468eba7ef32f8e59e87e43c240dd75ccf5b5e6f5e118addb6988228b94c0,g567_gate3b_label_train_01633,LABEL_TRAIN,warehouse_10_20_10_2_1,warehouse,80,30000,1,21,21,21,1,0,0,0,0,0,1,0,1,1,1
06604555c04e4327134a81ccdcd8d5514df8e33e8260e1fa98fd10bbc83af491,g567_gate3b_label_train_00223,LABEL_TRAIN,random_32_32_10,random,16,30000,1,21,21,21,5,0,0,0,0,0,5,0,0,5,5
0662a1020cdd873749e473d281f39981488a73dc6ab5e18ce2c49b7160ec0bfb,g567_gate3b_label_train_00454,LABEL_TRAIN,room_64_64_8,room,12,30000,1,21,21,21,1,0,0,0,0,0,1,0,1,1,1
06826de289ac90f2128a4ed05b0e39a1ae3cc8ea1f54ff06acffd7e3957e4c97,g567_gate3b_calibration_00102,CALIBRATION,empty_16_16,empty,12,30000,1,21,21,21,20,0,0,0,0,0,20,0,0,20,20
06ac8d5a59d52664dbd52cc66bf68c8bacdbdc6cd41b5bd7057c4ce2bc35b04c,g567_gate3b_calibration_00354,CALIBRATION,maze_128_128_1,maze,768,30000,1,21,21,21,21,0,0,0,21,0,21,0,0,21,21
06b1bf7f5ebf38d380d8c074c6bebfd6a2ec90eafebc0f35d7bda6b73c98b41b,g567_gate3b_label_train_01992,LABEL_TRAIN,g567-large-maze-128x128-a-v3,large_maze,3000,60000,1,21,21,21,1,0,0,0,0,0,1,0,1,1,1
06d6ed460837a9b56ec43ddc076404919677ea3cab481e9abc00c376e5ae1def,g567_gate3b_label_train_00793,LABEL_TRAIN,g567-large-empty-128x128-a-v1,large_empty,24,30000,1,21,21,21,1,0,0,0,0,0,1,0,1,1,1
06dc2d6591bcfe0cdbbc3b917655e851e0c89cf1651f700b52c3dacda32bbe2e,g567_gate3b_label_train_00856,LABEL_TRAIN,g567-large-empty-128x128-a-v1,large_empty,1000,40000,1,21,21,21,1,0,0,0,0,0,1,0,0,1,1
06e2124b53b20bbabdeb4a2ad981ef2d090de91a3bcea78d9bf23d768eda5a95,g567_gate3b_calibration_00475,CALIBRATION,g567-connector-48x48-a-v1,connector,256,30000,1,21,21,21,21,0,0,0,21,0,21,0,0,21,21
06ecdd5a6570aae469cc7a0319a88373bfff0aab003e2ae945f9a4ec5dfaa5fd,g567_gate3b_label_train_01239,LABEL_TRAIN,room_64_64_16,room,24,30000,1,21,21,21,1,0,0,0,0,0,1,0,1,1,1
071d71e7a48f79875a092073bc4734faf3527ca3b7a07bdabbde7d8d305b640d,g567_gate3b_label_train_00553,LABEL_TRAIN,room_64_64_8,room,1500,40000,1,21,21,21,21,0,0,0,21,0,21,0,0,21,21
073932194d8fff0a317e79626928178ee684b4534a3f2d1e0584ebb5b4636711,g567_gate3b_label_train_00915,LABEL_TRAIN,g567-large-empty-128x128-a-v1,large_empty,2000,40000,1,21,21,21,1,0,0,0,0,0,1,0,0,1,1
07546dba16385c28be405c2686b97f1d7c9ef2f880ff3e0ac35b8f2f802d1159,g567_gate3b_label_train_00432,LABEL_TRAIN,warehouse_10_20_10_2_2,warehouse,384,30000,1,21,21,21,1,0,0,0,0,0,1,0,1,1,1
076b3ea14556cc11938567de05759579e88b45c19098c3ff78d33518aa2d05f7,g567_gate3b_label_train_00905,LABEL_TRAIN,g567-large-empty-128x128-a-v2,large_empty,2000,40000,1,21,21,21,1,0,0,0,0,0,1,0,1,1,1
078b952a25dbefcf69bf624e9fc04450818f9f22c40c2b5687426dbd99db82e4,g567_gate3b_label_train_01269,LABEL_TRAIN,room_64_64_16,room,64,30000,1,21,21,21,1,0,0,0,0,0,1,0,1,1,1
07a4325e32b8c2a50ff5ff3bdeae2e98fd870560c4342868c08900f23dcac3b5,g567_gate3b_calibration_00202,CALIBRATION,empty_32_32,empty,32,30000,1,21,21,21,1,0,0,0,0,0,1,0,1,1,1
07a95db5dbb3f99d10a5967420e1ffb9098a2e1b103d236391ff44fda54da78c,g567_gate3b_label_train_00042,LABEL_TRAIN,random_64_64_20,random,24,30000,1,21,21,21,1,0,0,0,0,0,1,0,1,1,1
07b304b3ff47ce9e58a5b9d5d9387b551ec1d63ad74695819012f10752ccb2d9,g567_gate3b_label_train_00676,LABEL_TRAIN,g567-large-room-128x128-a-v2,large_room,3000,60000,1,21,21,21,1,2,0,19,0,0,1,0,1,1,1
07c674c36226925f1576464e7973c193641f50fdafc2efdfbfcbfd01e3a44e89,g567_gate3b_label_train_00469,LABEL_TRAIN,room_64_64_8,room,32,30000,1,21,21,21,1,0,0,0,0,0,1,0,1,1,1
07da117445237d81892506a642627da50e8e76fb2a5a4be512bf1112266240ae,g567_gate3b_calibration_00248,CALIBRATION,g567-islands-48x48-a-v2,islands,16,30000,1,21,21,21,2,0,0,0,0,0,2,0,0,2,2
07eafaec5c66065677801462e6ae2e837953dcece528157554bf71f786d916a8,g567_gate3b_label_train_01228,LABEL_TRAIN,room_64_64_16,room,16,30000,1,21,21,21,2,0,0,0,0,0,2,0,0,2,2
082503cbb5f7dfe22d392729075d090d3e07e7f67ab6d5cb99175b0662ca39fb,g567_gate3b_label_train_00572,LABEL_TRAIN,maze_32_32_2,maze,12,30000,1,21,21,21,21,0,0,0,0,0,21,0,0,21,21
082612cb6ff9102aaac0448702ffcc998d3768ce83387cc892c3780ae5877dad,g567_gate3b_label_train_00937,LABEL_TRAIN,g567-large-empty-128x128-a-v3,large_empty,2500,40000,1,21,21,21,1,0,0,1,0,0,1,0,1,1,1
082f7d0c2ffcd9196dcdfeea338c4f039f82241a6d669079f852ed857ddbeb17,g567_gate3b_label_train_01905,LABEL_TRAIN,g567-large-maze-128x128-a-v2,large_maze,1000,40000,1,21,21,21,1,0,0,19,0,0,1,0,1,1,1
0839aed9c685a39cde46bb3822b10251e25869c7964d51b7b85bacee0cc12250,g567_gate3b_label_train_01661,LABEL_TRAIN,g567-room-64x48-b-v1,room,12,30000,1,21,21,21,4,0,0,0,0,0,4,0,0,4,4
0840313036e0ee2a2712e401d0ea71cf883d996425a553805a63f71b74eb9945,g567_gate3b_label_train_01680,LABEL_TRAIN,g567-room-64x48-b-v3,room,32,30000,1,21,21,21,1,0,0,0,0,0,1,0,0,1,1
084440cf0aafc29f9be288136bc815e79b870d1e87ed2aa8057d7322214ba308,g567_gate3b_label_train_01251,LABEL_TRAIN,room_64_64_16,room,32,30000,1,21,21,21,1,0,0,0,0,0,1,0,1,1,1
086351dabd9264b0975657a8552cb6b34b779433e8a1e45775f9c22354aa8ed3,g567_gate3b_calibration_00441,CALIBRATION,g567-large-lanes-192x128-a-v2,large_lanes,2500,40000,1,21,21,21,1,0,0,0,0,0,1,0,1,1,1
086f7961aae2260c19b6ec4ffc4abdc615b9feba4ed7f1bb5c5f8e4fcb58592c,g567_gate3b_label_train_01408,LABEL_TRAIN,maze_128_128_2,maze,256,30000,1,21,21,21,1,0,0,0,0,0,1,0,1,1,1
0891c319a673a2e8f84f9c42a900eed0d101c5b3f2d79f78a3dd6519e51b3036,g567_gate3b_label_train_00633,LABEL_TRAIN,g567-large-room-128x128-a-v0,large_room,2000,40000,1,21,21,21,0,0,0,21,0,0,0,1,0,0,0
0896c730208bc1aba1694b311b7dbb8d389d89d48000b2d74f3f9b1a11c753f6,g567_gate3b_label_train_00990,LABEL_TRAIN,g567-large-empty-128x128-a-v0,large_empty,3000,60000,1,21,21,21,1,0,0,0,0,0,1,0,0,1,1
08dc84e38fa57be4f03af180d78bc27ddcb79a824f7ce523f6578bf0d8249a6c,g567_gate3b_label_train_00641,LABEL_TRAIN,g567-large-room-128x128-a-v3,large_room,2000,40000,1,21,21,21,1,1,0,11,0,0,1,0,1,1,1
08e2ea3fc4c532c97b2d6ee7ee3591b8b9a43ec44c9422316af499d001385ae1,g567_gate3b_label_train_00904,LABEL_TRAIN,g567-large-empty-128x128-a-v1,large_empty,2000,40000,1,21,21,21,1,0,0,1,0,0,1,0,1,1,1
093cb9add8543238d2f4738f69d7b4e3be9cd66139fa9eda478676c97fcf1d52,g567_gate3b_label_train_00156,LABEL_TRAIN,den312d,game,64,30000,1,21,21,21,1,0,0,0,0,0,1,0,0,1,1
09639c5d02428c6b33a5eb5275262d34e87225ff467a614e9a994d9672ec3c1f,g567_gate3b_label_train_00919,LABEL_TRAIN,g567-large-empty-128x128-a-v1,large_empty,2500,40000,1,21,21,21,1,0,0,0,0,0,1,0,1,1,1
0979a092a126ac2ea59a921ffcfea712725832addd39ba53afdb25d9145d898c,g567_gate3b_label_train_00801,LABEL_TRAIN,g567-large-empty-128x128-a-v2,large_empty,64,30000,1,21,21,21,21,0,0,0,0,0,21,0,0,21,21
099b359fdb569270f39fbed24b42fd38461a6305320ad897db16bab52f666899,g567_gate3b_label_train_01998,LABEL_TRAIN,g567-large-maze-128x128-a-v0,large_maze,3000,60000,1,21,21,21,1,5,2,0,0,0,1,0,1,1,1
09b4530fce3715d00ff52e4542e851eeff03f65482df16e7b688e808fb7f3d71,g567_gate3b_label_train_00508,LABEL_TRAIN,room_64_64_8,room,192,30000,1,21,21,21,1,0,0,1,0,0,1,0,1,1,1
09cf1f7d7c2c2948a4377bb63954dd3a307e5f7a2b1c3cd983121a2b4c6b7988,g567_gate3b_label_train_00692,LABEL_TRAIN,g567-large-room-128x128-a-v0,large_room,3000,60000,1,21,21,21,1,1,1,14,0,0,1,0,1,1,1
0a0156de0e8ff999e92e2466c27267d88de547dbf9fff7705e87efad841e232e,g567_gate3b_label_train_00548,LABEL_TRAIN,room_64_64_8,room,1000,40000,1,21,21,21,0,0,0,21,0,0,0,1,0,0,0
0a054b68ecdc7c2282dfd522335e95b57272b6add514d36f1a7982d5fd7ae264,g567_gate3b_label_train_01289,LABEL_TRAIN,room_64_64_16,room,192,30000,1,21,21,21,1,0,0,14,0,0,1,0,0,1,1
0a59f917061e22396c179a97ac8e2d0a542decb9cd9c0562f8d66334b1539084,g567_gate3b_label_train_00771,LABEL_TRAIN,g567-large-empty-128x128-a-v2,large_empty,16,30000,1,21,21,21,21,0,0,0,0,0,21,0,0,21,21
0a957d8c4c81add0a504f6ced7124194e38edcbba96412aebfc27c067fa58ed4,g567_gate3b_label_train_01623,LABEL_TRAIN,warehouse_10_20_10_2_1,warehouse,48,30000,1,21,21,21,1,0,0,0,0,0,1,0,0,1,1
0ab5973301fc26c32a25af1f6714b3cfcb85b3e5bff942487d009860f928745a,g567_gate3b_label_train_01535,LABEL_TRAIN,g567-large-maze-192x128-a-v1,large_maze,2500,40000,1,21,21,21,1,13,0,0,0,0,1,0,1,1,1
0aef05ffa62ea0a841f2615571f30099b25281c2dce5347d76976944055b1ebb,g567_gate3b_label_train_01426,LABEL_TRAIN,maze_128_128_2,maze,512,30000,1,21,21,21,1,0,0,1,0,0,1,0,1,1,1
0afe006e9a9a5ccfb622057de4217eebff6c5394f2e78252d9367b8b449154fc,g567_gate3b_label_train_01088,LABEL_TRAIN,g567-room-48x48-a-v2,room,32,30000,1,21,21,21,1,0,0,0,0,0,1,0,1,1,1
0b45075f8a163af6c6f1918cd223538cdec54937f45d3ff43bbed47f696b3f78,g567_gate3b_calibration_00129,CALIBRATION,empty_16_16,empty,32,30000,1,21,21,21,2,2,0,0,0,0,2,0,0,2,2
0b508f9e5597015a407f557084972802bd4d7840fb880849ff5f09ee30a31681,g567_gate3b_calibration_00446,CALIBRATION,g567-large-lanes-192x128-a-v2,large_lanes,2500,40000,1,21,21,21,1,0,0,0,0,0,1,0,1,1,1
0b7aea4fd47d6c08b6e4599181f2f948581c5da7de898c0f6dfa5748e0ab44e6,g567_gate3b_label_train_00967,LABEL_TRAIN,g567-large-empty-128x128-a-v0,large_empty,2500,40000,1,21,21,21,1,0,0,1,0,0,1,0,1,1,1
0b86786921ecdff89ff80b670dd8a2830f9b2f6b003bffa139111ef90babdcf7,g567_gate3b_label_train_01666,LABEL_TRAIN,g567-room-64x48-b-v1,room,12,30000,1,21,21,21,3,0,0,0,0,0,3,0,0,3,3
0b9f5028f6ee421ceaeb2f6f13a70f254dcbdf7a4546aff337d1d75be1ef4d8e,g567_gate3b_label_train_00312,LABEL_TRAIN,g567-string-64x32-a-v0,irregular_bottleneck,384,30000,1,21,21,21,21,0,0,0,21,0,21,0,0,21,21
0ba3f9a7a37683b9eb7671aa4083e848f7c706692a5cbdddc0aab1800bc751e5,g567_gate3b_label_train_01309,LABEL_TRAIN,room_64_64_16,room,256,30000,1,21,21,21,1,0,0,3,0,0,1,0,0,1,1
0bbe155e6cfdbd6c4c84820be1923af056894eab08c3860df69084455474ea3a,g567_gate3b_label_train_00980,LABEL_TRAIN,g567-large-empty-128x128-a-v0,large_empty,2500,40000,1,21,21,21,1,0,0,0,0,0,1,0,0,1,1
0bd9186ca5e8f085242ccab8c46f2597edde0900eda1ea7140a15b38f336b9d7,g567_gate3b_label_train_00374,LABEL_TRAIN,warehouse_10_20_10_2_2,warehouse,64,30000,1,21,21,21,3,0,0,0,0,0,3,0,0,3,3
0bef713e00ba275d98c56b5576bce09132ea8d738217a26ad0b1962d53006817,g567_gate3b_label_train_00818,LABEL_TRAIN,g567-large-empty-128x128-a-v1,large_empty,256,30000,1,21,21,21,1,0,0,0,0,0,1,0,0,1,1
0bfe16d4a3a78415ba833a157bbeec33c0fe2396d08304b40a23e0eecb2891be,g567_gate3b_label_train_00675,LABEL_TRAIN,g567-large-room-128x128-a-v1,large_room,3000,60000,1,21,21,21,0,0,0,21,0,0,0,1,0,0,0
