policy,risk_bucket_low,risk_bucket_high,rows,mean_predicted_avoidable_risk,actual_avoidable_risk_rate,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
topk_candidate_induced_failure_guard,0.3,1.01,0,inf,inf,False,False,False,False,False
topk_static_recovery_specialist,0.0,0.05,120,0.032838089628992824,0.058333333333333334,False,False,False,False,False
topk_static_recovery_specialist,0.05,0.15,0,inf,inf,False,False,False,False,False
topk_static_recovery_specialist,0.15,0.3,0,inf,inf,False,False,False,False,False
topk_static_recovery_specialist,0.3,1.01,0,inf,inf,False,False,False,False,False
utility_only_ranker,0.0,0.05,120,0.032838089628992824,0.058333333333333334,False,False,False,False,False
utility_only_ranker,0.05,0.15,0,inf,inf,False,False,False,False,False
utility_only_ranker,0.15,0.3,0,inf,inf,False,False,False,False,False
utility_only_ranker,0.3,1.01,0,inf,inf,False,False,False,False,False
risk_only_ranker,0.0,0.05,120,0.03247918009724098,0.041666666666666664,False,False,False,False,False
risk_only_ranker,0.05,0.15,0,inf,inf,False,False,False,False,False
risk_only_ranker,0.15,0.3,0,inf,inf,False,False,False,False,False
risk_only_ranker,0.3,1.01,0,inf,inf,False,False,False,False,False
region_prior_baseline,0.0,0.05,120,0.03619311351276029,0.05,False,False,False,False,False
region_prior_baseline,0.05,0.15,0,inf,inf,False,False,False,False,False
region_prior_baseline,0.15,0.3,0,inf,inf,False,False,False,False,False
region_prior_baseline,0.3,1.01,0,inf,inf,False,False,False,False,False
agent_density_specialist_baseline,0.0,0.05,120,0.03619311351276029,0.05,False,False,False,False,False
agent_density_specialist_baseline,0.05,0.15,0,inf,inf,False,False,False,False,False
agent_density_specialist_baseline,0.15,0.3,0,inf,inf,False,False,False,False,False
agent_density_specialist_baseline,0.3,1.01,0,inf,inf,False,False,False,False,False
random_feature_control,0.0,0.05,116,0.03593129560102342,0.05172413793103448,False,False,False,False,False
random_feature_control,0.05,0.15,4,0.050841241856420256,0.0,False,False,False,False,False
random_feature_control,0.15,0.3,0,inf,inf,False,False,False,False,False
random_feature_control,0.3,1.01,0,inf,inf,False,False,False,False,False
label_shuffled_utility_control,0.0,0.05,114,0.035481680078019426,0.043859649122807015,False,False,False,False,False
label_shuffled_utility_control,0.05,0.15,6,0.050967186079799505,0.0,False,False,False,False,False
label_shuffled_utility_control,0.15,0.3,0,inf,inf,False,False,False,False,False
label_shuffled_utility_control,0.3,1.01,0,inf,inf,False,False,False,False,False
label_shuffled_risk_control,0.0,0.05,120,0.03529422386801453,0.041666666666666664,False,False,False,False,False
label_shuffled_risk_control,0.05,0.15,0,inf,inf,False,False,False,False,False
label_shuffled_risk_control,0.15,0.3,0,inf,inf,False,False,False,False,False
label_shuffled_risk_control,0.3,1.01,0,inf,inf,False,False,False,False,False
blocked_reason_shuffled_control,0.0,0.05,120,0.03590158501689295,0.05,False,False,False,False,False
blocked_reason_shuffled_control,0.05,0.15,0,inf,inf,False,False,False,False,False
blocked_reason_shuffled_control,0.15,0.3,0,inf,inf,False,False,False,False,False
blocked_reason_shuffled_control,0.3,1.01,0,inf,inf,False,False,False,False,False
oracle_topk_upper_bound_diagnostic_not_for_promotion,0.0,0.05,118,0.03595396673747203,0.0,False,False,False,False,False
oracle_topk_upper_bound_diagnostic_not_for_promotion,0.05,0.15,2,0.05014799412704408,0.0,False,False,False,False,False
oracle_topk_upper_bound_diagnostic_not_for_promotion,0.15,0.3,0,inf,inf,False,False,False,False,False
oracle_topk_upper_bound_diagnostic_not_for_promotion,0.3,1.01,0,inf,inf,False,False,False,False,False
