candidate_id,candidate_role,audit_candidate_region,selected_for_g529_probe,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
repair5g522_grid_c1p00_b1p45_f1p00_w0p40_dc0p92_df0p98_beta0p35_max0p65_c0,g522_response_surface,B_static_recovery_feasibility,True,False,False,False,False,False
repair5g522_grid_c1p00_b1p45_f1p00_w0p50_dc0p92_df0p98_beta0p30_max0p80_c0,g522_response_surface,B_static_recovery_feasibility,True,False,False,False,False,False
repair5g522_grid_c1p14_b1p46_f0p83_w0p73_dc0p90_df1p00_beta0p34_max0p94_c0,g522_response_surface,D_fractional_coverage,True,False,False,False,False,False
repair5g522_grid_c1p20_b1p55_f1p05_w0p75_dc0p90_df0p95_beta0p55_max0p90_c0,g522_response_surface,C_risk_boundary,True,False,False,False,False,False
repair5g522_grid_c1p20_b1p55_f1p05_w0p75_dc0p90_df0p95_beta0p65_max0p90_c0,g522_response_surface,C_risk_boundary,True,False,False,False,False,False
repair5g522_grid_c1p20_b1p55_f1p05_w0p90_dc0p90_df0p95_beta0p55_max0p90_c0,g522_response_surface,C_risk_boundary,True,False,False,False,False,False
repair5g522_grid_c1p22_b1p29_f0p78_w0p75_dc0p94_df0p94_beta0p25_max0p92_c0,g522_response_surface,D_fractional_coverage,True,False,False,False,False,False
repair5g522_grid_c1p25_b1p66_f1p09_w0p62_dc0p93_df0p94_beta0p31_max0p51_c0,g522_response_surface,D_fractional_coverage,True,False,False,False,False,False
repair5g522_grid_c1p26_b1p68_f1p11_w0p66_dc0p95_df0p96_beta0p39_max0p61_c0,g522_response_surface,D_fractional_coverage,True,False,False,False,False,False
repair5g522_grid_c1p29_b1p74_f1p18_w0p77_dc0p99_df1p01_beta0p62_max0p91_c0,g522_response_surface,D_fractional_coverage,True,False,False,False,False,False
repair5g59_additive_fallback,old14,old14,True,False,False,False,False,False
repair5g59_block_heavy_flow_guard,old14,old14,True,False,False,False,False,False
repair5g59_c_only_f_disabled,old14,old14,True,False,False,False,False,False
repair5g59_commit_heavy_flow_guard,old14,old14,True,False,False,False,False,False
repair5g59_fast_decay_low_shield,old14,old14,True,False,False,False,False,False
repair5g59_flow_decay,old14,old14,True,False,False,False,False,False
repair5g59_high_beta_cap_safe,old14,old14,True,False,False,False,False,False
repair5g59_light_cong_light_flow,old14,old14,True,False,False,False,False,False
repair5g59_low_beta_high_cap,old14,old14,True,False,False,False,False,False
repair5g59_slow_decay_high_shield,old14,old14,True,False,False,False,False,False
repair5g59_static_abstain_candidate,old14,old14,True,False,False,False,False,False
repair5g59_static_flow_shield,old14,old14,True,False,False,False,False,False
repair5g59_wait_aggressive,old14,old14,True,False,False,False,False,False
repair5g59_wait_conservative,old14,old14,True,False,False,False,False,False
