topology_id,map,free_cell_count,represented_cell_count,all_cells_assigned,original_component_count,coarsened_component_count,component_count_unchanged,shortest_path_distortion_mean,shortest_path_distortion_max,connectivity_preserved,map_source,width,height,directed_edge_count,physical_map_sha256,free_cell_bitmap_sha256,adjacency_sha256,hash_source,max_nodes_hint,max_nodes_sampling_truncated,max_nodes_sampling_rejected_for_g559,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g559_topo_011,g559-synth-warehouse-b-36,720,720,True,1,1,True,0.0,0.0,True,synthetic_reconstruction,36,32,2444,55f3b8abd889abf71aea1f354e70e49f8907e4bdfd6c513d1f9978c6b1ffcc8f,0c70ad0161e5cbd4078934f76568e15b4940eb7b3138f5a4082d3a1d7bf3ee59,0cae910bc887d58a0609a1732171a583e8ba1922ad775bca40dca1540d740e1c,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_012,g559-synth-connector-32,347,347,True,1,1,True,0.0,0.0,True,synthetic_reconstruction,32,32,1156,f8c0bbf70e0153a3e8c79747ca8d5272633b79baddd59cc9c40ddc4b440d41a1,6964f42904933b782f2ac9497b8123ef11538a8a9f8eb5626b69e4e11bb91f40,1ebb93db09f463c3ecf508d0d7496828fbcc7c7ee0645eeef2809bf7858775db,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_013,g559-synth-corners-34,361,361,True,1,1,True,0.0,0.0,True,synthetic_reconstruction,34,32,1200,50f00a33e4a714768d7f920af2f89b5ed061c6d2533634dd8ca17400a0273e3d,39ac8b197d743d97fbe181c1ffb5ee10a3710606ac04e168350012c68c9420e3,8932425f4f39f61c83b54c594cdbdfb5f4ceb399f52529c5482fdd784534ac1f,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_014,g559-synth-loop-chain-36,371,371,True,1,1,True,0.0,0.0,True,synthetic_reconstruction,36,32,1236,705cdf48a35a0295bf5a8e5af285b169482d88764daa4b987519558109fa0dc3,7ba9ddea433707c6fef04d2acc191c5acee4a9ed794f55482fc648a0bc9f87d6,f81bd35be19cf0f3dd8baade0896a14c624f4956c8689bc035890b999932f78e,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_015,g559-synth-tunnel-38,385,385,True,1,1,True,0.0,0.0,True,synthetic_reconstruction,38,32,1280,457bd56b8871e489dbd82a0563cc4509b2ab2ac2cc3d21ee44f9fc87add3bc4f,39faa57afa1a726fe261e0f322cc9aa88f3d2df9ec31aa44ba672c5fc175a132,03d02b14a22f4cf6f89592d6ecebfdc5deee0910886cbd69a48c74be5fec0002,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_016,g559-synth-string-40,397,397,True,1,1,True,0.0,0.0,True,synthetic_reconstruction,40,32,1320,fb119aacaf305ebcce9e07dd0659ab15f993a9486d1697355aeabc66dac86ab0,ca180d4f2d7d43d9733632dc68b7215769f60f6a7616de4fba621ac3839c72f7,2da61a094400d0176fc8892faae14e9a6a95bd8fc6bf15469d2eb767717fd7ec,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_017,g559-synth-tree-42,409,409,True,1,1,True,0.0,0.0,True,synthetic_reconstruction,42,32,1360,02ec7ff7cd6494f443d4281a55993c0b0831fddd7c59687d20ff7ac63920160f,55982d7d664454abb5934e384a0c9f83376b6120d28503e07e06e8d629262b91,8c2ef574629edc69a792d7d66e913d473f9bdf109baf0187346811d9c5de2d5b,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_018,g559-synth-game-den-32,784,784,True,5,5,True,0.0,0.0,True,synthetic_reconstruction,32,32,2308,a239412a61015e89d0a73526ad7fa1e554931ce6416e2a2e037c8552a5438927,e830bdb189f3f4afa5f557618a07d7a1aee7849b235bcb0336e2c2b052d5ab60,2fd636eebb411cc917d7865e1eaffaf4ea67029f55f97adb303b7a9b700a6fdf,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_019,g559-synth-game-brc-32,794,794,True,2,2,True,0.0,0.0,True,synthetic_reconstruction,32,32,2378,302e62361819ff53cd7fb6fa94a70715501e8cd760db0c448d754511df4102e1,b8bed89fe7e5f935fa0e5be80beb000554456bf8bb7a33e63969a2044ee890f3,fe132532d70e7c5e2a4cd34251ccbe1603b9ff7283ab27f4e9fde018c92dec5b,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_020,g559-synth-city-berlin-32,795,795,True,5,5,True,0.0,0.0,True,synthetic_reconstruction,32,32,2392,6c5e61c0c3a3dd7fa4b0b1dce70e9ad0b8a0cd1517c854bf0f707b66ca835f1a,252d20d0b52385737665d0e7b6e2ad96087551186e7a60f1db357bcb36f2430d,ec8aaf34c11890d31f296f7f126c9e555bb365becb4afc49223e1affbd9815bd,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_021,g559-synth-city-boston-32,803,803,True,4,4,True,0.0,0.0,True,synthetic_reconstruction,32,32,2448,913cd60123dcc70877c92842394a55e2f5c7749cebdc1748188776fd5714327d,d46cecefd7c0bff0f8b07452592261ae7f5a5a4997385e4179277201c6ad4f59,63e7fcba416ead4ca7518386900858fa5e8434ef584649a56b253d8188ebd016,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_022,g559-synth-city-paris-32,781,781,True,8,8,True,0.0,0.0,True,synthetic_reconstruction,32,32,2322,21e432e5dcbbbb3ea52105da5f8e7460164527ceeaa04f55b94e194c9ed1dbe3,5f3c4efbd953aeb862935460fffabab8851998174d7b6e79c5b86f5c9028d3ab,d47d572cd3c4e0e439e34f5cd84caabf9b530da69701966601fc30d577d7077c,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_023,g559-synth-game-lak-32,794,794,True,2,2,True,0.0,0.0,True,synthetic_reconstruction,32,32,2370,3d8211e6194a40724c7ffe8c552d48777ac9d2b767bf94623ae9f0c376a447f4,6002ce54cc8115c4e8deb3f256604f6a1c230ac9f0a97f4d2cc18cb0e3369b70,ffe610c0c9be3c46de04a3edb987d7a3775e64364a4c75e61fbbcd98ae46efab,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_024,g565-synth-open-cross-40,1278,1278,True,3,3,True,0.0,0.0,True,synthetic_reconstruction,40,40,4002,296de13d5e8c2760ebcd7e897d1dfbfe6042475f9da4498a5dcaa25d534296fa,7d93644dae7c7ef9e3c8f6e6718796887a45cc66c1b797dfc2b401662716f1ee,1fe57435f383c72db424e2810313bac299e7cbd57770b57564d9dba061c192e7,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_025,g565-synth-open-halls-44,1359,1359,True,9,9,True,0.0,0.0,True,synthetic_reconstruction,44,40,4128,28139fe1bf7940726beb5da595f341ec17d8e99b0e15be64dcc2302d5d04863d,5a9d176b55f0821d80f58199d18622c3fa2e64fb303a519a8291982ae1a48da1,9f51b498d10f4ae4b15c3fa67b9ee84a2dc6b4f2e57bffc98621193e63eac3b8,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_026,g565-synth-ring-a-40,1231,1231,True,4,4,True,0.0,0.0,True,synthetic_reconstruction,40,40,3664,a172796f9d361daf06c368d5a302a87e84383ed3ae0e0180876f498eb0f829ef,a22998dae2afabf883a127727c76c1f1bb37a054c69a4b851ab373a910220f11,e4cfd96ae32b81703dee5c819e89a1091ddc3325d94f3b8a7f05692468e61cbd,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_027,g565-synth-ring-b-48,1467,1467,True,6,6,True,0.0,0.0,True,synthetic_reconstruction,48,40,4350,c3e1b87bc7f208bcce84f87f7440969f4a77b02bf84f1fc3010a7ec54a25909e,5e0fc6dd402ef227994f3cbd67bcb3c733f14e585d82dd009c59170a49e90958,f3373b6484c6ad36880573b1ffca339883c5930cda5d823cb02ec82529f2c1b3,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_028,g565-synth-islands-a-40,1219,1219,True,14,14,True,0.0,0.0,True,synthetic_reconstruction,40,40,3624,90f9e63a714a9c77f016ba6bef0fca1d99625262e205a119e085e8f01814ce5c,c3798bb6c997914c11adc5d9a3b3e345fc77b0d75e049ed2707cbcba93633669,6e2e2bb42958edb9ea4faf3aa5225233ce761595c89b74d18ad6c638aef36f41,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_029,g565-synth-islands-b-48,1532,1532,True,4,4,True,0.0,0.0,True,synthetic_reconstruction,48,40,4764,36ab2d3cfc757150f5880f27d361055796ed3233bb68111a5a7ee08bd26424b1,69188177d57932dc4cdc10d56282f63172c57f2c351041269730f457b1cfb347,750215b0d37a67a2bc58856f2c04e58174d56bffb1d8c232cd25055586e2f795,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_030,g565-synth-bridge-a-40,1242,1242,True,10,10,True,0.0,0.0,True,synthetic_reconstruction,40,40,3776,1360b6d9fa25b30ea2c4f0f03584c180352b00755515546b93999e54873ee557,e2fb1dfe9c2411b9306958df0a31f6fd6402cdd14e9f14a54e7cdd6f9d3c6092,f8b5c35f108f69bb6b057b1e40127633e1b58ad50ce0653a0e5f768ef3c83068,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_031,g565-synth-bridge-b-48,1504,1504,True,3,3,True,0.0,0.0,True,synthetic_reconstruction,48,40,4622,ac0ac3c7a7710cf6739e0cecede719d9fb3ad6694f2bbcc75f816905984085f7,c69a34467672d7358130fdd96f41d1964ce683df281ba7f573826151229fcf5d,4ac9f3efd076bb9071b1c881ea48684fb255773d9195cbd8edd44d5a76f1b2b0,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_032,g565-synth-labyrinth-a-40,1239,1239,True,10,10,True,0.0,0.0,True,synthetic_reconstruction,40,40,3754,6aacafd340ea7c5c0222ef8ffbbadbd005508064afd43682ad444441382a463f,415eeb93c6dd4dba2302d5d2b44f099ab8f6e040d9bfd1c9129e1d1748a3a281,af9368cf25e05891e84c4f5652f904a74941e1b9d121dcc9daf485a99631100d,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_033,g565-synth-labyrinth-b-48,1482,1482,True,12,12,True,0.0,0.0,True,synthetic_reconstruction,48,40,4480,2e481e3f0fa8202b1775f196b93a60929e04ab9a4a9a11fbe7a3507696f9d559,c67865645ccc9a23f91a1efb2e6f2dd2fc023ac89b82eb1fc38975d1a754577d,2e6f793a4bf0b3ab1bf9546084afb3e9b91be63b612b0b911ea00bf6c7869646,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_034,g565-synth-checker-a-40,1266,1266,True,7,7,True,0.0,0.0,True,synthetic_reconstruction,40,40,3876,26509aca7c80f74cec95ca5cf3142ba346e7c08ccc831060b4108f7a9f5d54ae,5f04c87eb8a02aa628c7bbd9902ff791fe145af6833c9375bfc3f424f20d1c58,6294410a5e2a18aa6e8ce94cb0710c46692511ba35de5d9b1ca46d28390479a8,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_035,g565-synth-checker-b-48,1479,1479,True,6,6,True,0.0,0.0,True,synthetic_reconstruction,48,40,4470,0e3cf23e3cea05db81ee9ad5113b9120c4096a44de5ae5db9dc01a367cbd0524,cd94dbf4e722599cc7c5e5d54d58d4fd3d09ec7e612339afb0b94e607213d7b9,7935601475db4cf4cf543584f3dd58aace2255a26dd8b8237e8020f90df63378,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_036,g565-synth-corridor-grid-a-44,1523,1523,True,4,4,True,0.0,0.0,True,synthetic_reconstruction,44,44,4708,ce36d17888bcdc152e606a597b545bc904d0dcc4dcee101ae8b6fdf9e1401ac0,14eca22da822f04d5b60f36cb4103d2f612d7c0677f81b2fd6cca7aabfcb740e,fb8b0c759467a47e0a5ba015f271ca9597171ca55790a264407fd228af207313,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_037,g565-synth-corridor-grid-b-52,1803,1803,True,7,7,True,0.0,0.0,True,synthetic_reconstruction,52,44,5588,9fb02aaf51b3a262608e5e6c231308cc444d984bbb38a794b0864c664b4d7cd5,a0fee0b8e07938961428721e5e0ebef88b45eb8c87ee8820143c72ddbe712b9d,0c6f0af5fd19d5ff0f799881f920517d33537bb102899ee80ed5cf739e9a5c05,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_038,g565-synth-hub-spoke-a-44,1523,1523,True,5,5,True,0.0,0.0,True,synthetic_reconstruction,44,44,4700,0834f09d29cc36f5f4d9f047f0d96e961da4932a66c304bcab5178f164bf3d01,218aa117777b5a60e924dad59d5f3e2c0db090a598491999e22622421ac2dee6,4b0c2bdf6b3bd1bc2d57d4f8eb8808885e94567d742431a1f78d202724428e4f,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_039,g565-synth-hub-spoke-b-52,1776,1776,True,9,9,True,0.0,0.0,True,synthetic_reconstruction,52,44,5420,7a7f8c801eaa7e5d351183abb5d137fcdc1491a55b998cfa22a846e56caa3720,fbf29c59da75d987d2ab635871ecd287b1a299a42d600c91d28335dd63d0736d,ddec9234a98d973a76f8d9530d88049e36b439f1358d2763ddd6cea59edb11e5,synthetic_reconstruction,0,False,False,False,False,False,False,False
