candidate_index,candidate_id,method,candidate_group,event_condition,edge_class,alpha_cong_commit,alpha_cong_block,alpha_wait_or_nonprogress,alpha_flow_progress,rho_cong_decay,rho_flow_decay,flow_shield_beta,max_flow_shield,goal_projection_mode,min_edge_cost,max_edge_cost,negative_control,reserved_id_used,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
10,repair5g543_evt_blocked_bneck_suppress_011,repair5g518_grid_c0p85_b0p65_f1p00_w0p6_dc0p92_df1p00_beta0p35_max0p35_c0,blocked_bottleneck_suppressors,blocked_bottleneck,bottleneck,0.85,0.65,0.6,1,0.92,1,0.35,0.35,flow_shield,1,11,False,False,False,False,False,False,False
11,repair5g543_evt_blocked_bneck_suppress_012,repair5g518_grid_c0p85_b0p65_f1p00_w0p6_dc0p92_df1p00_beta0p35_max0p6_c0,blocked_bottleneck_suppressors,blocked_bottleneck,bottleneck,0.85,0.65,0.6,1,0.92,1,0.35,0.6,flow_shield,1,11,False,False,False,False,False,False,False
12,repair5g543_evt_blocked_open_penalize_001,repair5g518_grid_c1p1_b1p35_f1p00_w0p75_dc0p95_df1p00_beta0p25_max0p5_c0,blocked_open_area_penalizers,blocked_open_area,junction,1.1,1.35,0.75,1,0.95,1,0.25,0.5,flow_shield,1,11,False,False,False,False,False,False,False
13,repair5g543_evt_blocked_open_penalize_002,repair5g518_grid_c1p1_b1p35_f1p00_w0p75_dc0p95_df1p00_beta0p25_max0p75_c0,blocked_open_area_penalizers,blocked_open_area,junction,1.1,1.35,0.75,1,0.95,1,0.25,0.75,flow_shield,1,11,False,False,False,False,False,False,False
14,repair5g543_evt_blocked_open_penalize_003,repair5g518_grid_c1p1_b1p35_f1p00_w0p75_dc0p95_df1p00_beta0p35_max0p5_c0,blocked_open_area_penalizers,blocked_open_area,junction,1.1,1.35,0.75,1,0.95,1,0.35,0.5,flow_shield,1,11,False,False,False,False,False,False,False
15,repair5g543_evt_blocked_open_penalize_004,repair5g518_grid_c1p1_b1p35_f1p00_w0p75_dc0p95_df1p00_beta0p35_max0p75_c0,blocked_open_area_penalizers,blocked_open_area,junction,1.1,1.35,0.75,1,0.95,1,0.35,0.75,flow_shield,1,11,False,False,False,False,False,False,False
16,repair5g543_evt_blocked_open_penalize_005,repair5g518_grid_c1p1_b1p35_f1p00_w0p75_dc0p98_df1p00_beta0p25_max0p5_c0,blocked_open_area_penalizers,blocked_open_area,junction,1.1,1.35,0.75,1,0.98,1,0.25,0.5,flow_shield,1,11,False,False,False,False,False,False,False
17,repair5g543_evt_blocked_open_penalize_006,repair5g518_grid_c1p1_b1p35_f1p00_w0p75_dc0p98_df1p00_beta0p25_max0p75_c0,blocked_open_area_penalizers,blocked_open_area,junction,1.1,1.35,0.75,1,0.98,1,0.25,0.75,flow_shield,1,11,False,False,False,False,False,False,False
18,repair5g543_evt_blocked_open_penalize_007,repair5g518_grid_c1p1_b1p35_f1p00_w0p75_dc0p98_df1p00_beta0p35_max0p5_c0,blocked_open_area_penalizers,blocked_open_area,junction,1.1,1.35,0.75,1,0.98,1,0.35,0.5,flow_shield,1,11,False,False,False,False,False,False,False
19,repair5g543_evt_blocked_open_penalize_008,repair5g518_grid_c1p1_b1p35_f1p00_w0p75_dc0p98_df1p00_beta0p35_max0p75_c0,blocked_open_area_penalizers,blocked_open_area,junction,1.1,1.35,0.75,1,0.98,1,0.35,0.75,flow_shield,1,11,False,False,False,False,False,False,False
20,repair5g543_evt_blocked_open_penalize_009,repair5g518_grid_c1p1_b1p35_f1p00_w0p9_dc0p95_df1p00_beta0p25_max0p5_c0,blocked_open_area_penalizers,blocked_open_area,junction,1.1,1.35,0.9,1,0.95,1,0.25,0.5,flow_shield,1,11,False,False,False,False,False,False,False
21,repair5g543_evt_blocked_open_penalize_010,repair5g518_grid_c1p1_b1p35_f1p00_w0p9_dc0p95_df1p00_beta0p25_max0p75_c0,blocked_open_area_penalizers,blocked_open_area,junction,1.1,1.35,0.9,1,0.95,1,0.25,0.75,flow_shield,1,11,False,False,False,False,False,False,False
22,repair5g543_evt_blocked_open_penalize_011,repair5g518_grid_c1p1_b1p35_f1p00_w0p9_dc0p95_df1p00_beta0p35_max0p5_c0,blocked_open_area_penalizers,blocked_open_area,junction,1.1,1.35,0.9,1,0.95,1,0.35,0.5,flow_shield,1,11,False,False,False,False,False,False,False
23,repair5g543_evt_blocked_open_penalize_012,repair5g518_grid_c1p1_b1p35_f1p00_w0p9_dc0p95_df1p00_beta0p35_max0p75_c0,blocked_open_area_penalizers,blocked_open_area,junction,1.1,1.35,0.9,1,0.95,1,0.35,0.75,flow_shield,1,11,False,False,False,False,False,False,False
24,repair5g543_evt_wait_neargoal_suppress_001,repair5g518_grid_c1p00_b1p00_f1p00_w0p2_dc0p95_df1p00_beta0p25_max0p5_c0,wait_near_goal_suppressors,wait_near_goal,goal_progress,1,1,0.2,1,0.95,1,0.25,0.5,flow_shield,1,11,False,False,False,False,False,False,False
25,repair5g543_evt_wait_neargoal_suppress_002,repair5g518_grid_c1p00_b1p00_f1p00_w0p2_dc0p95_df1p00_beta0p25_max0p75_c0,wait_near_goal_suppressors,wait_near_goal,goal_progress,1,1,0.2,1,0.95,1,0.25,0.75,flow_shield,1,11,False,False,False,False,False,False,False
26,repair5g543_evt_wait_neargoal_suppress_003,repair5g518_grid_c1p00_b1p00_f1p00_w0p2_dc0p95_df1p00_beta0p4_max0p5_c0,wait_near_goal_suppressors,wait_near_goal,goal_progress,1,1,0.2,1,0.95,1,0.4,0.5,flow_shield,1,11,False,False,False,False,False,False,False
27,repair5g543_evt_wait_neargoal_suppress_004,repair5g518_grid_c1p00_b1p00_f1p00_w0p2_dc0p95_df1p00_beta0p4_max0p75_c0,wait_near_goal_suppressors,wait_near_goal,goal_progress,1,1,0.2,1,0.95,1,0.4,0.75,flow_shield,1,11,False,False,False,False,False,False,False
28,repair5g543_evt_wait_neargoal_suppress_005,repair5g518_grid_c1p00_b1p00_f1p00_w0p2_dc0p98_df1p00_beta0p25_max0p5_c0,wait_near_goal_suppressors,wait_near_goal,goal_progress,1,1,0.2,1,0.98,1,0.25,0.5,flow_shield,1,11,False,False,False,False,False,False,False
29,repair5g543_evt_wait_neargoal_suppress_006,repair5g518_grid_c1p00_b1p00_f1p00_w0p2_dc0p98_df1p00_beta0p25_max0p75_c0,wait_near_goal_suppressors,wait_near_goal,goal_progress,1,1,0.2,1,0.98,1,0.25,0.75,flow_shield,1,11,False,False,False,False,False,False,False
30,repair5g543_evt_wait_neargoal_suppress_007,repair5g518_grid_c1p00_b1p00_f1p00_w0p2_dc0p98_df1p00_beta0p4_max0p5_c0,wait_near_goal_suppressors,wait_near_goal,goal_progress,1,1,0.2,1,0.98,1,0.4,0.5,flow_shield,1,11,False,False,False,False,False,False,False
31,repair5g543_evt_wait_neargoal_suppress_008,repair5g518_grid_c1p00_b1p00_f1p00_w0p2_dc0p98_df1p00_beta0p4_max0p75_c0,wait_near_goal_suppressors,wait_near_goal,goal_progress,1,1,0.2,1,0.98,1,0.4,0.75,flow_shield,1,11,False,False,False,False,False,False,False
32,repair5g543_evt_wait_neargoal_suppress_009,repair5g518_grid_c1p00_b1p00_f1p00_w0p4_dc0p95_df1p00_beta0p25_max0p5_c0,wait_near_goal_suppressors,wait_near_goal,goal_progress,1,1,0.4,1,0.95,1,0.25,0.5,flow_shield,1,11,False,False,False,False,False,False,False
33,repair5g543_evt_wait_neargoal_suppress_010,repair5g518_grid_c1p00_b1p00_f1p00_w0p4_dc0p95_df1p00_beta0p25_max0p75_c0,wait_near_goal_suppressors,wait_near_goal,goal_progress,1,1,0.4,1,0.95,1,0.25,0.75,flow_shield,1,11,False,False,False,False,False,False,False
34,repair5g543_evt_wait_neargoal_suppress_011,repair5g518_grid_c1p00_b1p00_f1p00_w0p4_dc0p95_df1p00_beta0p4_max0p5_c0,wait_near_goal_suppressors,wait_near_goal,goal_progress,1,1,0.4,1,0.95,1,0.4,0.5,flow_shield,1,11,False,False,False,False,False,False,False
35,repair5g543_evt_wait_neargoal_suppress_012,repair5g518_grid_c1p00_b1p00_f1p00_w0p4_dc0p95_df1p00_beta0p4_max0p75_c0,wait_near_goal_suppressors,wait_near_goal,goal_progress,1,1,0.4,1,0.95,1,0.4,0.75,flow_shield,1,11,False,False,False,False,False,False,False
36,repair5g543_evt_wait_traffic_penalize_001,repair5g518_grid_c1p05_b1p15_f1p00_w1p05_dc0p92_df1p00_beta0p2_max0p5_c0,wait_in_traffic_penalizers,wait_in_traffic,corridor,1.05,1.15,1.05,1,0.92,1,0.2,0.5,flow_shield,1,11,False,False,False,False,False,False,False
37,repair5g543_evt_wait_traffic_penalize_002,repair5g518_grid_c1p05_b1p15_f1p00_w1p05_dc0p92_df1p00_beta0p2_max0p75_c0,wait_in_traffic_penalizers,wait_in_traffic,corridor,1.05,1.15,1.05,1,0.92,1,0.2,0.75,flow_shield,1,11,False,False,False,False,False,False,False
38,repair5g543_evt_wait_traffic_penalize_003,repair5g518_grid_c1p05_b1p15_f1p00_w1p05_dc0p92_df1p00_beta0p35_max0p5_c0,wait_in_traffic_penalizers,wait_in_traffic,corridor,1.05,1.15,1.05,1,0.92,1,0.35,0.5,flow_shield,1,11,False,False,False,False,False,False,False
39,repair5g543_evt_wait_traffic_penalize_004,repair5g518_grid_c1p05_b1p15_f1p00_w1p05_dc0p92_df1p00_beta0p35_max0p75_c0,wait_in_traffic_penalizers,wait_in_traffic,corridor,1.05,1.15,1.05,1,0.92,1,0.35,0.75,flow_shield,1,11,False,False,False,False,False,False,False
40,repair5g543_evt_wait_traffic_penalize_005,repair5g518_grid_c1p05_b1p15_f1p00_w1p05_dc0p95_df1p00_beta0p2_max0p5_c0,wait_in_traffic_penalizers,wait_in_traffic,corridor,1.05,1.15,1.05,1,0.95,1,0.2,0.5,flow_shield,1,11,False,False,False,False,False,False,False
41,repair5g543_evt_wait_traffic_penalize_006,repair5g518_grid_c1p05_b1p15_f1p00_w1p05_dc0p95_df1p00_beta0p2_max0p75_c0,wait_in_traffic_penalizers,wait_in_traffic,corridor,1.05,1.15,1.05,1,0.95,1,0.2,0.75,flow_shield,1,11,False,False,False,False,False,False,False
42,repair5g543_evt_wait_traffic_penalize_007,repair5g518_grid_c1p05_b1p15_f1p00_w1p05_dc0p95_df1p00_beta0p35_max0p5_c0,wait_in_traffic_penalizers,wait_in_traffic,corridor,1.05,1.15,1.05,1,0.95,1,0.35,0.5,flow_shield,1,11,False,False,False,False,False,False,False
43,repair5g543_evt_wait_traffic_penalize_008,repair5g518_grid_c1p05_b1p15_f1p00_w1p05_dc0p95_df1p00_beta0p35_max0p75_c0,wait_in_traffic_penalizers,wait_in_traffic,corridor,1.05,1.15,1.05,1,0.95,1,0.35,0.75,flow_shield,1,11,False,False,False,False,False,False,False
44,repair5g543_evt_wait_traffic_penalize_009,repair5g518_grid_c1p05_b1p15_f1p00_w1p3_dc0p92_df1p00_beta0p2_max0p5_c0,wait_in_traffic_penalizers,wait_in_traffic,corridor,1.05,1.15,1.3,1,0.92,1,0.2,0.5,flow_shield,1,11,False,False,False,False,False,False,False
45,repair5g543_evt_wait_traffic_penalize_010,repair5g518_grid_c1p05_b1p15_f1p00_w1p3_dc0p92_df1p00_beta0p2_max0p75_c0,wait_in_traffic_penalizers,wait_in_traffic,corridor,1.05,1.15,1.3,1,0.92,1,0.2,0.75,flow_shield,1,11,False,False,False,False,False,False,False
46,repair5g543_evt_wait_traffic_penalize_011,repair5g518_grid_c1p05_b1p15_f1p00_w1p3_dc0p92_df1p00_beta0p35_max0p5_c0,wait_in_traffic_penalizers,wait_in_traffic,corridor,1.05,1.15,1.3,1,0.92,1,0.35,0.5,flow_shield,1,11,False,False,False,False,False,False,False
47,repair5g543_evt_wait_traffic_penalize_012,repair5g518_grid_c1p05_b1p15_f1p00_w1p3_dc0p92_df1p00_beta0p35_max0p75_c0,wait_in_traffic_penalizers,wait_in_traffic,corridor,1.05,1.15,1.3,1,0.92,1,0.35,0.75,flow_shield,1,11,False,False,False,False,False,False,False
48,repair5g543_evt_commit_progress_flow_001,repair5g518_grid_c0p9_b0p95_f1p2_w0p65_dc0p95_df1p00_beta0p45_max0p75_c0,committed_progress_flow_boosters,committed_progress,goal_progress,0.9,0.95,0.65,1.2,0.95,1,0.45,0.75,flow_shield,1,11,False,False,False,False,False,False,False
49,repair5g543_evt_commit_progress_flow_002,repair5g518_grid_c0p9_b0p95_f1p2_w0p65_dc0p95_df1p00_beta0p45_max1p00_c0,committed_progress_flow_boosters,committed_progress,goal_progress,0.9,0.95,0.65,1.2,0.95,1,0.45,1,flow_shield,1,11,False,False,False,False,False,False,False
50,repair5g543_evt_commit_progress_flow_003,repair5g518_grid_c0p9_b0p95_f1p2_w0p65_dc0p95_df1p00_beta0p6_max0p75_c0,committed_progress_flow_boosters,committed_progress,goal_progress,0.9,0.95,0.65,1.2,0.95,1,0.6,0.75,flow_shield,1,11,False,False,False,False,False,False,False
51,repair5g543_evt_commit_progress_flow_004,repair5g518_grid_c0p9_b0p95_f1p2_w0p65_dc0p95_df1p00_beta0p6_max1p00_c0,committed_progress_flow_boosters,committed_progress,goal_progress,0.9,0.95,0.65,1.2,0.95,1,0.6,1,flow_shield,1,11,False,False,False,False,False,False,False
52,repair5g543_evt_commit_progress_flow_005,repair5g518_grid_c0p9_b0p95_f1p2_w0p65_dc1p00_df1p00_beta0p45_max0p75_c0,committed_progress_flow_boosters,committed_progress,goal_progress,0.9,0.95,0.65,1.2,1,1,0.45,0.75,flow_shield,1,11,False,False,False,False,False,False,False
53,repair5g543_evt_commit_progress_flow_006,repair5g518_grid_c0p9_b0p95_f1p2_w0p65_dc1p00_df1p00_beta0p45_max1p00_c0,committed_progress_flow_boosters,committed_progress,goal_progress,0.9,0.95,0.65,1.2,1,1,0.45,1,flow_shield,1,11,False,False,False,False,False,False,False
54,repair5g543_evt_commit_progress_flow_007,repair5g518_grid_c0p9_b0p95_f1p2_w0p65_dc1p00_df1p00_beta0p6_max0p75_c0,committed_progress_flow_boosters,committed_progress,goal_progress,0.9,0.95,0.65,1.2,1,1,0.6,0.75,flow_shield,1,11,False,False,False,False,False,False,False
55,repair5g543_evt_commit_progress_flow_008,repair5g518_grid_c0p9_b0p95_f1p2_w0p65_dc1p00_df1p00_beta0p6_max1p00_c0,committed_progress_flow_boosters,committed_progress,goal_progress,0.9,0.95,0.65,1.2,1,1,0.6,1,flow_shield,1,11,False,False,False,False,False,False,False
56,repair5g543_evt_commit_progress_flow_009,repair5g518_grid_c0p9_b0p95_f1p2_w0p8_dc0p95_df1p00_beta0p45_max0p75_c0,committed_progress_flow_boosters,committed_progress,goal_progress,0.9,0.95,0.8,1.2,0.95,1,0.45,0.75,flow_shield,1,11,False,False,False,False,False,False,False
57,repair5g543_evt_commit_progress_flow_010,repair5g518_grid_c0p9_b0p95_f1p2_w0p8_dc0p95_df1p00_beta0p45_max1p00_c0,committed_progress_flow_boosters,committed_progress,goal_progress,0.9,0.95,0.8,1.2,0.95,1,0.45,1,flow_shield,1,11,False,False,False,False,False,False,False
58,repair5g543_evt_commit_progress_flow_011,repair5g518_grid_c0p9_b0p95_f1p2_w0p8_dc0p95_df1p00_beta0p6_max0p75_c0,committed_progress_flow_boosters,committed_progress,goal_progress,0.9,0.95,0.8,1.2,0.95,1,0.6,0.75,flow_shield,1,11,False,False,False,False,False,False,False
59,repair5g543_evt_commit_progress_flow_012,repair5g518_grid_c0p9_b0p95_f1p2_w0p8_dc0p95_df1p00_beta0p6_max1p00_c0,committed_progress_flow_boosters,committed_progress,goal_progress,0.9,0.95,0.8,1.2,0.95,1,0.6,1,flow_shield,1,11,False,False,False,False,False,False,False
60,repair5g543_evt_nonprogress_penalty_001,repair5g518_grid_c1p35_b1p1_f1p00_w0p85_dc0p92_df1p00_beta0p2_max0p35_c0,nonprogress_commit_penalizers,committed_nonprogress,lateral,1.35,1.1,0.85,1,0.92,1,0.2,0.35,flow_shield,1,11,False,False,False,False,False,False,False
61,repair5g543_evt_nonprogress_penalty_002,repair5g518_grid_c1p35_b1p1_f1p00_w0p85_dc0p92_df1p00_beta0p2_max0p6_c0,nonprogress_commit_penalizers,committed_nonprogress,lateral,1.35,1.1,0.85,1,0.92,1,0.2,0.6,flow_shield,1,11,False,False,False,False,False,False,False
62,repair5g543_evt_nonprogress_penalty_003,repair5g518_grid_c1p35_b1p1_f1p00_w0p85_dc0p92_df1p00_beta0p35_max0p35_c0,nonprogress_commit_penalizers,committed_nonprogress,lateral,1.35,1.1,0.85,1,0.92,1,0.35,0.35,flow_shield,1,11,False,False,False,False,False,False,False
63,repair5g543_evt_nonprogress_penalty_004,repair5g518_grid_c1p35_b1p1_f1p00_w0p85_dc0p92_df1p00_beta0p35_max0p6_c0,nonprogress_commit_penalizers,committed_nonprogress,lateral,1.35,1.1,0.85,1,0.92,1,0.35,0.6,flow_shield,1,11,False,False,False,False,False,False,False
64,repair5g543_evt_nonprogress_penalty_005,repair5g518_grid_c1p35_b1p1_f1p00_w0p85_dc0p96_df1p00_beta0p2_max0p35_c0,nonprogress_commit_penalizers,committed_nonprogress,lateral,1.35,1.1,0.85,1,0.96,1,0.2,0.35,flow_shield,1,11,False,False,False,False,False,False,False
65,repair5g543_evt_nonprogress_penalty_006,repair5g518_grid_c1p35_b1p1_f1p00_w0p85_dc0p96_df1p00_beta0p2_max0p6_c0,nonprogress_commit_penalizers,committed_nonprogress,lateral,1.35,1.1,0.85,1,0.96,1,0.2,0.6,flow_shield,1,11,False,False,False,False,False,False,False
66,repair5g543_evt_nonprogress_penalty_007,repair5g518_grid_c1p35_b1p1_f1p00_w0p85_dc0p96_df1p00_beta0p35_max0p35_c0,nonprogress_commit_penalizers,committed_nonprogress,lateral,1.35,1.1,0.85,1,0.96,1,0.35,0.35,flow_shield,1,11,False,False,False,False,False,False,False
67,repair5g543_evt_nonprogress_penalty_008,repair5g518_grid_c1p35_b1p1_f1p00_w0p85_dc0p96_df1p00_beta0p35_max0p6_c0,nonprogress_commit_penalizers,committed_nonprogress,lateral,1.35,1.1,0.85,1,0.96,1,0.35,0.6,flow_shield,1,11,False,False,False,False,False,False,False
68,repair5g543_evt_nonprogress_penalty_009,repair5g518_grid_c1p35_b1p1_f1p00_w1p00_dc0p92_df1p00_beta0p2_max0p35_c0,nonprogress_commit_penalizers,committed_nonprogress,lateral,1.35,1.1,1,1,0.92,1,0.2,0.35,flow_shield,1,11,False,False,False,False,False,False,False
69,repair5g543_evt_nonprogress_penalty_010,repair5g518_grid_c1p35_b1p1_f1p00_w1p00_dc0p92_df1p00_beta0p2_max0p6_c0,nonprogress_commit_penalizers,committed_nonprogress,lateral,1.35,1.1,1,1,0.92,1,0.2,0.6,flow_shield,1,11,False,False,False,False,False,False,False
70,repair5g543_evt_nonprogress_penalty_011,repair5g518_grid_c1p35_b1p1_f1p00_w1p00_dc0p92_df1p00_beta0p35_max0p35_c0,nonprogress_commit_penalizers,committed_nonprogress,lateral,1.35,1.1,1,1,0.92,1,0.35,0.35,flow_shield,1,11,False,False,False,False,False,False,False
71,repair5g543_evt_nonprogress_penalty_012,repair5g518_grid_c1p35_b1p1_f1p00_w1p00_dc0p92_df1p00_beta0p35_max0p6_c0,nonprogress_commit_penalizers,committed_nonprogress,lateral,1.35,1.1,1,1,0.92,1,0.35,0.6,flow_shield,1,11,False,False,False,False,False,False,False
72,repair5g543_edge_flowshield_conservative_001,repair5g518_grid_c1p1_b1p1_f1p00_w0p65_dc0p95_df1p00_beta0p1_max0p25_c0,flow_shield_conservative,committed_progress,corridor,1.1,1.1,0.65,1,0.95,1,0.1,0.25,flow_shield,1,11,False,False,False,False,False,False,False
73,repair5g543_edge_flowshield_conservative_002,repair5g518_grid_c1p1_b1p1_f1p00_w0p65_dc0p95_df1p00_beta0p1_max0p5_c0,flow_shield_conservative,committed_progress,corridor,1.1,1.1,0.65,1,0.95,1,0.1,0.5,flow_shield,1,11,False,False,False,False,False,False,False
74,repair5g543_edge_flowshield_conservative_003,repair5g518_grid_c1p1_b1p1_f1p00_w0p65_dc0p95_df1p00_beta0p25_max0p25_c0,flow_shield_conservative,committed_progress,corridor,1.1,1.1,0.65,1,0.95,1,0.25,0.25,flow_shield,1,11,False,False,False,False,False,False,False
75,repair5g543_edge_flowshield_conservative_004,repair5g518_grid_c1p1_b1p1_f1p00_w0p65_dc0p95_df1p00_beta0p25_max0p5_c0,flow_shield_conservative,committed_progress,corridor,1.1,1.1,0.65,1,0.95,1,0.25,0.5,flow_shield,1,11,False,False,False,False,False,False,False
76,repair5g543_edge_flowshield_conservative_005,repair5g518_grid_c1p1_b1p1_f1p00_w0p65_dc0p98_df1p00_beta0p1_max0p25_c0,flow_shield_conservative,committed_progress,corridor,1.1,1.1,0.65,1,0.98,1,0.1,0.25,flow_shield,1,11,False,False,False,False,False,False,False
77,repair5g543_edge_flowshield_conservative_006,repair5g518_grid_c1p1_b1p1_f1p00_w0p65_dc0p98_df1p00_beta0p1_max0p5_c0,flow_shield_conservative,committed_progress,corridor,1.1,1.1,0.65,1,0.98,1,0.1,0.5,flow_shield,1,11,False,False,False,False,False,False,False
78,repair5g543_edge_flowshield_conservative_007,repair5g518_grid_c1p1_b1p1_f1p00_w0p65_dc0p98_df1p00_beta0p25_max0p25_c0,flow_shield_conservative,committed_progress,corridor,1.1,1.1,0.65,1,0.98,1,0.25,0.25,flow_shield,1,11,False,False,False,False,False,False,False
79,repair5g543_edge_flowshield_conservative_008,repair5g518_grid_c1p1_b1p1_f1p00_w0p65_dc0p98_df1p00_beta0p25_max0p5_c0,flow_shield_conservative,committed_progress,corridor,1.1,1.1,0.65,1,0.98,1,0.25,0.5,flow_shield,1,11,False,False,False,False,False,False,False
80,repair5g543_edge_flowshield_conservative_009,repair5g518_grid_c1p1_b1p1_f1p00_w0p75_dc0p95_df1p00_beta0p1_max0p25_c0,flow_shield_conservative,committed_progress,corridor,1.1,1.1,0.75,1,0.95,1,0.1,0.25,flow_shield,1,11,False,False,False,False,False,False,False
81,repair5g543_edge_flowshield_conservative_010,repair5g518_grid_c1p1_b1p1_f1p00_w0p75_dc0p95_df1p00_beta0p1_max0p5_c0,flow_shield_conservative,committed_progress,corridor,1.1,1.1,0.75,1,0.95,1,0.1,0.5,flow_shield,1,11,False,False,False,False,False,False,False
82,repair5g543_edge_flowshield_conservative_011,repair5g518_grid_c1p1_b1p1_f1p00_w0p75_dc0p95_df1p00_beta0p25_max0p25_c0,flow_shield_conservative,committed_progress,corridor,1.1,1.1,0.75,1,0.95,1,0.25,0.25,flow_shield,1,11,False,False,False,False,False,False,False
83,repair5g543_edge_flowshield_conservative_012,repair5g518_grid_c1p1_b1p1_f1p00_w0p75_dc0p95_df1p00_beta0p25_max0p5_c0,flow_shield_conservative,committed_progress,corridor,1.1,1.1,0.75,1,0.95,1,0.25,0.5,flow_shield,1,11,False,False,False,False,False,False,False
84,repair5g543_pareto_overlay_conservative_001,repair5g518_grid_c1p15_b1p15_f1p00_w0p65_dc0p95_df1p00_beta0p25_max0p5_c0,pareto_static_residual_overlays,pareto_static_overlay,junction,1.15,1.15,0.65,1,0.95,1,0.25,0.5,flow_shield,1,11,False,False,False,False,False,False,False
85,repair5g543_pareto_overlay_conservative_002,repair5g518_grid_c1p15_b1p15_f1p00_w0p65_dc0p95_df1p00_beta0p25_max0p75_c0,pareto_static_residual_overlays,pareto_static_overlay,junction,1.15,1.15,0.65,1,0.95,1,0.25,0.75,flow_shield,1,11,False,False,False,False,False,False,False
86,repair5g543_pareto_overlay_conservative_003,repair5g518_grid_c1p15_b1p15_f1p00_w0p65_dc0p95_df1p00_beta0p4_max0p5_c0,pareto_static_residual_overlays,pareto_static_overlay,junction,1.15,1.15,0.65,1,0.95,1,0.4,0.5,flow_shield,1,11,False,False,False,False,False,False,False
87,repair5g543_pareto_overlay_conservative_004,repair5g518_grid_c1p15_b1p15_f1p00_w0p65_dc0p95_df1p00_beta0p4_max0p75_c0,pareto_static_residual_overlays,pareto_static_overlay,junction,1.15,1.15,0.65,1,0.95,1,0.4,0.75,flow_shield,1,11,False,False,False,False,False,False,False
