candidate_index,candidate_id,method,search_stage,stage_code,alpha_cong_committed,alpha_cong_blocked,alpha_flow_progress,alpha_wait_or_nonprogress,rho_cong,rho_flow,flow_shield_beta,max_flow_shield,c_only,goal_projection_mode,delta_alpha_cong_committed,delta_alpha_cong_blocked,delta_alpha_flow_progress,delta_alpha_wait,delta_rho_cong,delta_rho_flow,delta_beta,delta_max_flow_shield,min_edge_cost,max_edge_cost,hypothesis,expected_strata,method_parser_family,existing_project_owned_alias,adapter_change_required,reserved_id_used,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
13,repair5g539_s1_013,repair5g518_grid_c1p00_b1p25_f0p5_w0p35_dc0p98_df0p98_beta0p35_max1p00_c0,Stage 1 stratified coarse search,s1,1.0,1.25,0.5,0.35,0.98,0.98,0.35,1.0,False,flow_shield,-0.25,0,-0.5,-0.4,0.03,-0.02,0,0.25,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
14,repair5g539_s1_014,repair5g518_grid_c1p4_b1p25_f1p25_w0p5_dc1p00_df1p00_beta0p25_max0p5_c0,Stage 1 stratified coarse search,s1,1.4,1.25,1.25,0.5,1.0,1.0,0.25,0.5,False,flow_shield,0.15,0,0.25,-0.25,0.05,0,-0.1,-0.25,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
15,repair5g539_s1_015,repair5g518_grid_c1p25_b1p25_f1p00_w0p65_dc0p95_df0p9_beta0p15_max1p25_c0,Stage 1 stratified coarse search,s1,1.25,1.25,1.0,0.65,0.95,0.9,0.15,1.25,False,flow_shield,0,0,0,-0.1,0,-0.1,-0.2,0.5,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
16,repair5g539_s1_016,repair5g518_grid_c1p1_b1p25_f0p75_w0p75_dc0p98_df0p95_beta0p45_max0p75_c0,Stage 1 stratified coarse search,s1,1.1,1.25,0.75,0.75,0.98,0.95,0.45,0.75,False,flow_shield,-0.15,0,-0.25,0,0.03,-0.05,0.1,0,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
17,repair5g539_s1_017,repair5g518_grid_c1p00_b1p25_f0p5_w0p25_dc1p00_df0p98_beta0p3_max0p4_c0,Stage 1 stratified coarse search,s1,1.0,1.25,0.5,0.25,1.0,0.98,0.3,0.4,False,flow_shield,-0.25,0,-0.5,-0.5,0.05,-0.02,-0.05,-0.35,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
18,repair5g539_s1_018,repair5g518_grid_c1p4_b1p25_f1p25_w0p35_dc0p95_df1p00_beta0p2_max1p00_c0,Stage 1 stratified coarse search,s1,1.4,1.25,1.25,0.35,0.95,1.0,0.2,1.0,False,flow_shield,0.15,0,0.25,-0.4,0,0,-0.15,0.25,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
19,repair5g539_s1_019,repair5g518_grid_c1p25_b1p25_f1p00_w0p5_dc0p98_df0p9_beta0p6_max0p5_c0,Stage 1 stratified coarse search,s1,1.25,1.25,1.0,0.5,0.98,0.9,0.6,0.5,False,flow_shield,0,0,0,-0.25,0.03,-0.1,0.25,-0.25,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
20,repair5g539_s1_020,repair5g518_grid_c1p1_b1p25_f0p75_w0p65_dc1p00_df0p95_beta0p35_max1p25_c0,Stage 1 stratified coarse search,s1,1.1,1.25,0.75,0.65,1.0,0.95,0.35,1.25,False,flow_shield,-0.15,0,-0.25,-0.1,0.05,-0.05,0,0.5,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
21,repair5g539_s1_021,repair5g518_grid_c1p00_b1p25_f0p5_w0p75_dc0p95_df0p98_beta0p25_max0p75_c0,Stage 1 stratified coarse search,s1,1.0,1.25,0.5,0.75,0.95,0.98,0.25,0.75,False,flow_shield,-0.25,0,-0.5,0,0,-0.02,-0.1,0,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
22,repair5g539_s1_022,repair5g518_grid_c1p4_b1p25_f1p25_w0p25_dc0p98_df1p00_beta0p15_max0p4_c0,Stage 1 stratified coarse search,s1,1.4,1.25,1.25,0.25,0.98,1.0,0.15,0.4,False,flow_shield,0.15,0,0.25,-0.5,0.03,0,-0.2,-0.35,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
23,repair5g539_s1_023,repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc1p00_df0p9_beta0p45_max1p00_c0,Stage 1 stratified coarse search,s1,1.25,1.25,1.0,0.35,1.0,0.9,0.45,1.0,False,flow_shield,0,0,0,-0.4,0.05,-0.1,0.1,0.25,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
24,repair5g539_s1_024,repair5g518_grid_c1p1_b1p25_f0p75_w0p5_dc0p95_df0p95_beta0p3_max0p5_c0,Stage 1 stratified coarse search,s1,1.1,1.25,0.75,0.5,0.95,0.95,0.3,0.5,False,flow_shield,-0.15,0,-0.25,-0.25,0,-0.05,-0.05,-0.25,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
25,repair5g539_s1_025,repair5g518_grid_c1p00_b1p25_f0p5_w0p65_dc0p98_df0p98_beta0p2_max1p25_c0,Stage 1 stratified coarse search,s1,1.0,1.25,0.5,0.65,0.98,0.98,0.2,1.25,False,flow_shield,-0.25,0,-0.5,-0.1,0.03,-0.02,-0.15,0.5,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
26,repair5g539_s1_026,repair5g518_grid_c1p4_b1p25_f1p25_w0p75_dc1p00_df1p00_beta0p6_max0p75_c0,Stage 1 stratified coarse search,s1,1.4,1.25,1.25,0.75,1.0,1.0,0.6,0.75,False,flow_shield,0.15,0,0.25,0,0.05,0,0.25,0,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
27,repair5g539_s1_027,repair5g518_grid_c1p25_b1p25_f1p00_w0p25_dc0p95_df0p9_beta0p35_max0p4_c0,Stage 1 stratified coarse search,s1,1.25,1.25,1.0,0.25,0.95,0.9,0.35,0.4,False,flow_shield,0,0,0,-0.5,0,-0.1,0,-0.35,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
28,repair5g539_s1_028,repair5g518_grid_c1p1_b1p25_f0p75_w0p35_dc0p98_df0p95_beta0p25_max1p00_c0,Stage 1 stratified coarse search,s1,1.1,1.25,0.75,0.35,0.98,0.95,0.25,1.0,False,flow_shield,-0.15,0,-0.25,-0.4,0.03,-0.05,-0.1,0.25,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
29,repair5g539_s1_029,repair5g518_grid_c1p00_b1p25_f0p5_w0p5_dc1p00_df0p98_beta0p15_max0p5_c0,Stage 1 stratified coarse search,s1,1.0,1.25,0.5,0.5,1.0,0.98,0.15,0.5,False,flow_shield,-0.25,0,-0.5,-0.25,0.05,-0.02,-0.2,-0.25,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
30,repair5g539_s1_030,repair5g518_grid_c1p4_b1p25_f1p25_w0p65_dc0p95_df1p00_beta0p45_max1p25_c0,Stage 1 stratified coarse search,s1,1.4,1.25,1.25,0.65,0.95,1.0,0.45,1.25,False,flow_shield,0.15,0,0.25,-0.1,0,0,0.1,0.5,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
31,repair5g539_s1_031,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p98_df0p9_beta0p3_max0p75_c0,Stage 1 stratified coarse search,s1,1.25,1.25,1.0,0.75,0.98,0.9,0.3,0.75,False,flow_shield,0,0,0,0,0.03,-0.1,-0.05,0,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
32,repair5g539_s1_032,repair5g518_grid_c1p1_b1p25_f0p75_w0p25_dc1p00_df0p95_beta0p2_max0p4_c0,Stage 1 stratified coarse search,s1,1.1,1.25,0.75,0.25,1.0,0.95,0.2,0.4,False,flow_shield,-0.15,0,-0.25,-0.5,0.05,-0.05,-0.15,-0.35,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
33,repair5g539_s1_033,repair5g518_grid_c1p00_b1p25_f0p5_w0p35_dc0p95_df0p98_beta0p6_max1p00_c0,Stage 1 stratified coarse search,s1,1.0,1.25,0.5,0.35,0.95,0.98,0.6,1.0,False,flow_shield,-0.25,0,-0.5,-0.4,0,-0.02,0.25,0.25,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
34,repair5g539_s1_034,repair5g518_grid_c1p4_b1p25_f1p25_w0p5_dc0p98_df1p00_beta0p35_max0p5_c0,Stage 1 stratified coarse search,s1,1.4,1.25,1.25,0.5,0.98,1.0,0.35,0.5,False,flow_shield,0.15,0,0.25,-0.25,0.03,0,0,-0.25,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
35,repair5g539_s1_035,repair5g518_grid_c1p25_b1p25_f1p00_w0p65_dc1p00_df0p9_beta0p25_max1p25_c0,Stage 1 stratified coarse search,s1,1.25,1.25,1.0,0.65,1.0,0.9,0.25,1.25,False,flow_shield,0,0,0,-0.1,0.05,-0.1,-0.1,0.5,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
36,repair5g539_s1_036,repair5g518_grid_c1p1_b1p25_f0p75_w0p75_dc0p95_df0p95_beta0p15_max0p75_c0,Stage 1 stratified coarse search,s1,1.1,1.25,0.75,0.75,0.95,0.95,0.15,0.75,False,flow_shield,-0.15,0,-0.25,0,0,-0.05,-0.2,0,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
37,repair5g539_s1_037,repair5g518_grid_c1p00_b1p25_f0p5_w0p25_dc0p98_df0p98_beta0p45_max0p4_c0,Stage 1 stratified coarse search,s1,1.0,1.25,0.5,0.25,0.98,0.98,0.45,0.4,False,flow_shield,-0.25,0,-0.5,-0.5,0.03,-0.02,0.1,-0.35,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
38,repair5g539_s1_038,repair5g518_grid_c1p4_b1p25_f1p25_w0p35_dc1p00_df1p00_beta0p3_max1p00_c0,Stage 1 stratified coarse search,s1,1.4,1.25,1.25,0.35,1.0,1.0,0.3,1.0,False,flow_shield,0.15,0,0.25,-0.4,0.05,0,-0.05,0.25,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
39,repair5g539_s1_039,repair5g518_grid_c1p25_b1p25_f1p00_w0p5_dc0p95_df0p9_beta0p2_max0p5_c0,Stage 1 stratified coarse search,s1,1.25,1.25,1.0,0.5,0.95,0.9,0.2,0.5,False,flow_shield,0,0,0,-0.25,0,-0.1,-0.15,-0.25,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
40,repair5g539_s1_040,repair5g518_grid_c1p1_b1p25_f0p75_w0p65_dc0p98_df0p95_beta0p6_max1p25_c0,Stage 1 stratified coarse search,s1,1.1,1.25,0.75,0.65,0.98,0.95,0.6,1.25,False,flow_shield,-0.15,0,-0.25,-0.1,0.03,-0.05,0.25,0.5,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
41,repair5g539_s1_041,repair5g518_grid_c1p00_b1p25_f0p5_w0p75_dc1p00_df0p98_beta0p35_max0p75_c0,Stage 1 stratified coarse search,s1,1.0,1.25,0.5,0.75,1.0,0.98,0.35,0.75,False,flow_shield,-0.25,0,-0.5,0,0.05,-0.02,0,0,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
42,repair5g539_s1_042,repair5g518_grid_c1p4_b1p25_f1p25_w0p25_dc0p95_df1p00_beta0p25_max0p4_c0,Stage 1 stratified coarse search,s1,1.4,1.25,1.25,0.25,0.95,1.0,0.25,0.4,False,flow_shield,0.15,0,0.25,-0.5,0,0,-0.1,-0.35,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
43,repair5g539_s1_043,repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p98_df0p9_beta0p15_max1p00_c0,Stage 1 stratified coarse search,s1,1.25,1.25,1.0,0.35,0.98,0.9,0.15,1.0,False,flow_shield,0,0,0,-0.4,0.03,-0.1,-0.2,0.25,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
44,repair5g539_s1_044,repair5g518_grid_c1p1_b1p25_f0p75_w0p5_dc1p00_df0p95_beta0p45_max0p5_c0,Stage 1 stratified coarse search,s1,1.1,1.25,0.75,0.5,1.0,0.95,0.45,0.5,False,flow_shield,-0.15,0,-0.25,-0.25,0.05,-0.05,0.1,-0.25,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
45,repair5g539_s1_045,repair5g518_grid_c1p00_b1p25_f0p5_w0p65_dc0p95_df0p98_beta0p3_max1p25_c0,Stage 1 stratified coarse search,s1,1.0,1.25,0.5,0.65,0.95,0.98,0.3,1.25,False,flow_shield,-0.25,0,-0.5,-0.1,0,-0.02,-0.05,0.5,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
46,repair5g539_s1_046,repair5g518_grid_c1p4_b1p25_f1p25_w0p75_dc0p98_df1p00_beta0p2_max0p75_c0,Stage 1 stratified coarse search,s1,1.4,1.25,1.25,0.75,0.98,1.0,0.2,0.75,False,flow_shield,0.15,0,0.25,0,0.03,0,-0.15,0,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
47,repair5g539_s1_047,repair5g518_grid_c1p25_b1p25_f1p00_w0p25_dc1p00_df0p9_beta0p6_max0p4_c0,Stage 1 stratified coarse search,s1,1.25,1.25,1.0,0.25,1.0,0.9,0.6,0.4,False,flow_shield,0,0,0,-0.5,0.05,-0.1,0.25,-0.35,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
48,repair5g539_s1_048,repair5g518_grid_c1p1_b1p25_f0p75_w0p35_dc0p95_df0p95_beta0p35_max1p00_c0,Stage 1 stratified coarse search,s1,1.1,1.25,0.75,0.35,0.95,0.95,0.35,1.0,False,flow_shield,-0.15,0,-0.25,-0.4,0,-0.05,0,0.25,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
49,repair5g539_s1_049,repair5g518_grid_c1p00_b1p25_f0p5_w0p5_dc0p98_df0p98_beta0p25_max0p5_c0,Stage 1 stratified coarse search,s1,1.0,1.25,0.5,0.5,0.98,0.98,0.25,0.5,False,flow_shield,-0.25,0,-0.5,-0.25,0.03,-0.02,-0.1,-0.25,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
50,repair5g539_s1_050,repair5g518_grid_c1p4_b1p25_f1p25_w0p65_dc1p00_df1p00_beta0p15_max1p25_c0,Stage 1 stratified coarse search,s1,1.4,1.25,1.25,0.65,1.0,1.0,0.15,1.25,False,flow_shield,0.15,0,0.25,-0.1,0.05,0,-0.2,0.5,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
51,repair5g539_s1_051,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df0p9_beta0p45_max0p75_c0,Stage 1 stratified coarse search,s1,1.25,1.25,1.0,0.75,0.95,0.9,0.45,0.75,False,flow_shield,0,0,0,0,0,-0.1,0.1,0,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
52,repair5g539_s1_052,repair5g518_grid_c1p1_b1p25_f0p75_w0p25_dc0p98_df0p95_beta0p3_max0p4_c0,Stage 1 stratified coarse search,s1,1.1,1.25,0.75,0.25,0.98,0.95,0.3,0.4,False,flow_shield,-0.15,0,-0.25,-0.5,0.03,-0.05,-0.05,-0.35,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
53,repair5g539_s1_053,repair5g518_grid_c1p00_b1p25_f0p5_w0p35_dc1p00_df0p98_beta0p2_max1p00_c0,Stage 1 stratified coarse search,s1,1.0,1.25,0.5,0.35,1.0,0.98,0.2,1.0,False,flow_shield,-0.25,0,-0.5,-0.4,0.05,-0.02,-0.15,0.25,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
54,repair5g539_s1_054,repair5g518_grid_c1p4_b1p25_f1p25_w0p5_dc0p95_df1p00_beta0p6_max0p5_c0,Stage 1 stratified coarse search,s1,1.4,1.25,1.25,0.5,0.95,1.0,0.6,0.5,False,flow_shield,0.15,0,0.25,-0.25,0,0,0.25,-0.25,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
55,repair5g539_s1_055,repair5g518_grid_c1p25_b1p25_f1p00_w0p65_dc0p98_df0p9_beta0p35_max1p25_c0,Stage 1 stratified coarse search,s1,1.25,1.25,1.0,0.65,0.98,0.9,0.35,1.25,False,flow_shield,0,0,0,-0.1,0.03,-0.1,0,0.5,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
56,repair5g539_s1_056,repair5g518_grid_c1p1_b1p25_f0p75_w0p75_dc1p00_df0p95_beta0p25_max0p75_c0,Stage 1 stratified coarse search,s1,1.1,1.25,0.75,0.75,1.0,0.95,0.25,0.75,False,flow_shield,-0.15,0,-0.25,0,0.05,-0.05,-0.1,0,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
57,repair5g539_s1_057,repair5g518_grid_c1p00_b1p25_f0p5_w0p25_dc0p95_df0p98_beta0p15_max0p4_c0,Stage 1 stratified coarse search,s1,1.0,1.25,0.5,0.25,0.95,0.98,0.15,0.4,False,flow_shield,-0.25,0,-0.5,-0.5,0,-0.02,-0.2,-0.35,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
58,repair5g539_s1_058,repair5g518_grid_c1p4_b1p25_f1p25_w0p35_dc0p98_df1p00_beta0p45_max1p00_c0,Stage 1 stratified coarse search,s1,1.4,1.25,1.25,0.35,0.98,1.0,0.45,1.0,False,flow_shield,0.15,0,0.25,-0.4,0.03,0,0.1,0.25,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
59,repair5g539_s1_059,repair5g518_grid_c1p25_b1p25_f1p00_w0p5_dc1p00_df0p9_beta0p3_max0p5_c0,Stage 1 stratified coarse search,s1,1.25,1.25,1.0,0.5,1.0,0.9,0.3,0.5,False,flow_shield,0,0,0,-0.25,0.05,-0.1,-0.05,-0.25,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
60,repair5g539_s1_060,repair5g518_grid_c1p1_b1p25_f0p75_w0p65_dc0p95_df0p95_beta0p2_max1p25_c0,Stage 1 stratified coarse search,s1,1.1,1.25,0.75,0.65,0.95,0.95,0.2,1.25,False,flow_shield,-0.15,0,-0.25,-0.1,0,-0.05,-0.15,0.5,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
