model,harmful_threshold,rule_top1_accuracy,rule_top3_accuracy,harmful_update_recall,harmful_update_precision,predicted_rule_validation_mean_delta_ratio,selected_harmful_rule_rate,gate_like_top1_pass,gate_like_top3_pass,gate_like_recall_pass,gate_like_precision_pass,gate_like_delta_pass
edge_t005_hard070,0.1,0.3093681917211329,0.4989106753812636,0.9710982658959537,0.3870967741935484,0.004508862030381155,0.0,False,False,True,True,True
edge_t005_hard070,0.125,0.3159041394335512,0.5119825708061002,0.9653179190751445,0.4103194103194103,-0.00038422499687875745,0.008714596949891068,False,False,True,True,False
edge_t005_hard070,0.15,0.3137254901960784,0.5228758169934641,0.9017341040462428,0.4406779661016949,0.0031049942240913074,0.008714596949891068,False,False,True,True,True
edge_t005_hard070,0.2,0.3224400871459695,0.5838779956427015,0.7341040462427746,0.5100401606425703,-0.0046547817729079705,0.030501089324618737,False,False,False,True,False
edge_t005_hard070,0.3,0.30501089324618735,0.6579520697167756,0.6127167630057804,0.5955056179775281,0.001240636444818927,0.06971677559912855,False,False,False,True,True
edge_t005_hard070,0.4,0.3093681917211329,0.6427015250544662,0.3179190751445087,0.7432432432432432,0.007142234168778097,0.06535947712418301,False,False,False,True,True
edge_t005_hard070,0.5,0.3093681917211329,0.6405228758169934,0.011560693641618497,1.0,0.007142234168778097,0.06535947712418301,False,False,False,True,True
edge_t005_hard070,0.7,0.3093681917211329,0.6405228758169934,0.0,0.0,0.007142234168778097,0.06535947712418301,False,False,False,False,True
edge_t005_hard070,0.9,0.3093681917211329,0.6405228758169934,0.0,0.0,0.007142234168778097,0.06535947712418301,False,False,False,False,True
edge_t005_hard070,1.1,0.3093681917211329,0.6405228758169934,0.0,0.0,0.007142234168778097,0.06535947712418301,False,False,False,False,True
set_t005_hard070,0.02,0.24618736383442266,0.28104575163398693,1.0,0.3769063180827887,0.0015871293695869982,0.0,False,False,True,True,True
set_t005_hard070,0.05,0.30501089324618735,0.4662309368191721,1.0,0.3769063180827887,0.004151132411054731,0.0,False,False,True,True,True
set_t005_hard070,0.075,0.3028322440087146,0.4923747276688453,0.9942196531791907,0.3805309734513274,0.00436070971130438,0.0,False,False,True,True,True
set_t005_hard070,0.1,0.3093681917211329,0.5032679738562091,0.9826589595375722,0.3953488372093023,0.008040149194424901,0.0,False,False,True,True,True
set_t005_hard070,0.125,0.2984749455337691,0.5185185185185185,0.9479768786127167,0.43617021276595747,0.006577413482694197,0.010893246187363835,False,False,True,True,True
set_t005_hard070,0.15,0.29193899782135074,0.5315904139433552,0.8901734104046243,0.4666666666666667,0.004768173747078916,0.02178649237472767,False,False,True,True,True
set_t005_hard070,0.2,0.2984749455337691,0.579520697167756,0.7687861271676301,0.5362903225806451,0.003939918155258654,0.05010893246187364,False,False,False,True,True
set_t005_hard070,0.3,0.28104575163398693,0.599128540305011,0.6127167630057804,0.5955056179775281,0.009549684016023782,0.0784313725490196,False,False,False,True,True
set_t005_hard070,0.4,0.2766884531590414,0.5904139433551199,0.3988439306358382,0.6634615384615384,0.012488353160310363,0.08496732026143791,False,False,False,True,True
set_t005_hard070,0.5,0.2766884531590414,0.5882352941176471,0.10982658959537572,0.8260869565217391,0.012488353160310363,0.08496732026143791,False,False,False,True,True
set_t005_hard070,0.7,0.2766884531590414,0.5882352941176471,0.0,0.0,0.012488353160310363,0.08496732026143791,False,False,False,False,True
set_t005_hard070,0.9,0.2766884531590414,0.5882352941176471,0.0,0.0,0.012488353160310363,0.08496732026143791,False,False,False,False,True
set_t005_hard070,1.1,0.2766884531590414,0.5882352941176471,0.0,0.0,0.012488353160310363,0.08496732026143791,False,False,False,False,True
