candidate_id,alpha_commit,alpha_block,alpha_wait_spillover,rho_decay,force_additive,construction,old_equivalent_rule,is_exact_additive,is_old_preset_equivalent,notes
c075_b100_w100_d095,0.75,1.0,1.0,0.95,False,decay_interaction_alpha_commit,,False,False,Conservative decay plus one moderate alpha move.
c125_b100_w100_d095,1.25,1.0,1.0,0.95,False,decay_interaction_alpha_commit,,False,False,Conservative decay plus one moderate alpha move.
c100_b075_w100_d095,1.0,0.75,1.0,0.95,False,decay_interaction_alpha_block,,False,False,Conservative decay plus one moderate alpha move.
c100_b125_w100_d095,1.0,1.25,1.0,0.95,False,decay_interaction_alpha_block,,False,False,Conservative decay plus one moderate alpha move.
c100_b100_w075_d095,1.0,1.0,0.75,0.95,False,decay_interaction_alpha_wait_spillover,,False,False,Conservative decay plus one moderate alpha move.
c100_b100_w125_d095,1.0,1.0,1.25,0.95,False,decay_interaction_alpha_wait_spillover,,False,False,Conservative decay plus one moderate alpha move.
c075_b100_w100_d090,0.75,1.0,1.0,0.9,False,decay_interaction_alpha_commit,,False,False,Conservative decay plus one moderate alpha move.
c125_b100_w100_d090,1.25,1.0,1.0,0.9,False,decay_interaction_alpha_commit,,False,False,Conservative decay plus one moderate alpha move.
c100_b075_w100_d090,1.0,0.75,1.0,0.9,False,decay_interaction_alpha_block,,False,False,Conservative decay plus one moderate alpha move.
c100_b125_w100_d090,1.0,1.25,1.0,0.9,False,decay_interaction_alpha_block,,False,False,Conservative decay plus one moderate alpha move.
c100_b100_w075_d090,1.0,1.0,0.75,0.9,False,decay_interaction_alpha_wait_spillover,,False,False,Conservative decay plus one moderate alpha move.
c100_b100_w125_d090,1.0,1.0,1.25,0.9,False,decay_interaction_alpha_wait_spillover,,False,False,Conservative decay plus one moderate alpha move.
c075_b075_w125_d095,0.75,0.75,1.25,0.95,False,conservative_decay_combo,,False,False,Hand-picked bounded blend with decay.
c125_b075_w125_d095,1.25,0.75,1.25,0.95,False,conservative_decay_combo,,False,False,Hand-picked bounded blend with decay.
c075_b125_w125_d095,0.75,1.25,1.25,0.95,False,conservative_decay_combo,,False,False,Hand-picked bounded blend with decay.
c125_b125_w075_d095,1.25,1.25,0.75,0.95,False,conservative_decay_combo,,False,False,Hand-picked bounded blend with decay.
c075_b100_w125_d090,0.75,1.0,1.25,0.9,False,conservative_decay_combo,,False,False,Hand-picked bounded blend with decay.
c100_b075_w125_d090,1.0,0.75,1.25,0.9,False,conservative_decay_combo,,False,False,Hand-picked bounded blend with decay.
c125_b075_w100_d090,1.25,0.75,1.0,0.9,False,conservative_decay_combo,,False,False,Hand-picked bounded blend with decay.
c075_b125_w100_d090,0.75,1.25,1.0,0.9,False,conservative_decay_combo,,False,False,Hand-picked bounded blend with decay.
