registry_row_id,candidate_id,candidate_family,theta_cluster,source_pool_id,distance_from_current_static_flow,global_fixed_candidate,context_dependent,dynamic_policy,allowed_for_promotion,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g554_registry_00017,g554_c00017,hand_legacy_midpoints,tiny,g554_pool_833663872992,1.32,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0.9,0.95,1,1,0.9,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00018,g554_c00018,two_factor_interaction,small,g554_pool_281747590828,0.0290036165,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1.0290036165,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00019,g554_c00019,trust_region_sobol_around_hand,small,g554_pool_963126602894,0.661322780094,True,False,False,True,1.25,1.19068923756,1.25,0.75,0.75,1.02511700012,0,0.988826728827,1,0.952545202545,0,0.369889179889,0.699069324069,0.964477189477,10.8062493812,1,0,0,False,False,False,False,False
g554_registry_00020,g554_c00020,trust_region_sobol_around_nearmiss,near_miss,g554_pool_352054850572,2.56593230439,True,False,False,True,1.25,1.35400281307,1.25,0.75,0.75,0.952060720811,0.85215983341,0.913059189309,1,1.06675128363,0.84,0.37547041997,0.86233027108,0.805129603648,9.43458463902,1,0,0,False,False,False,False,False
g554_registry_00021,g554_c00021,cma_es_style_offline_candidates,near_miss,g554_pool_395144629851,0.712048284553,True,False,False,True,1.25,1.23392827381,1.25,0.75,0.75,0.959385632385,0.159926075426,0.930815898366,1,0.975108492063,0.1911,0.398092242941,0.739475094575,0.912260890982,11.0580822688,1,0,0,False,False,False,False,False
g554_registry_00022,g554_c00022,cross_entropy_elite_refits,near_miss,g554_pool_531106647733,1.78519243614,True,False,False,True,1.25,1.12689391502,1.25,0.75,0.75,1.02182186732,0.565033452283,0.93444002184,1,1.07497199641,0.7085,0.305562807613,0.879378514879,0.785721895841,10.7101026313,1,0,0,False,False,False,False,False
g554_registry_00023,g554_c00023,flow_wait_progress_micro_sweep,tiny,g554_pool_947597303304,0.193333333333,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1.05,0.2,0.95,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00024,g554_c00024,lambda_cong_micro_sweep,tiny,g554_pool_942116581546,0.17,True,False,False,True,1.25,1.1,1.25,0.75,0.75,1,0,0.95,1,1.05,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00025,g554_c00025,flow_shield_beta_cap_sweep,tiny,g554_pool_309592371789,0.3475,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.5,0.55,1,11,1,0,0,False,False,False,False,False
g554_registry_00026,g554_c00026,cost_clamp_micro_sweep,tiny,g554_pool_944582521446,0.508333333333,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,0.9,9.5,1,0,0,False,False,False,False,False
g554_registry_00027,g554_c00027,rho_decay_micro_sweep,tiny,g554_pool_475636201350,0.95,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,0.905,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00028,g554_c00028,shrinkage_to_hand_from_risky,near_miss,g554_pool_224664760095,0.378154064921,True,False,False,True,1.25,1.25765625,1.25,0.75,0.75,1,0.143325,0.95,1,1.01225,0.14945,0.3405675,0.76194375,0.966764840472,10.6806937578,1,0,0,False,False,False,False,False
g554_registry_00029,g554_c00029,negative_controls_wide_random,wide_diagnostic,g554_pool_699391555942,4.44644423394,True,False,False,False,0.878693378693,1.54126104126,1.63990913991,0.940135940136,0.0500885500886,0.245758745759,0.162225162225,0.928818828819,0.934017934018,1.31646881647,0.0686025686026,0.537998937999,0.975350725351,0.747415497415,8.70987270987,1,0,0,False,False,False,False,False
g554_registry_00030,g554_c00030,hand_legacy_midpoints,tiny,g554_pool_829771830987,0.366666666667,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0.25,0.95,1,1,0.25,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00031,g554_c00031,one_factor_small_perturbation,small,g554_pool_315281524088,0.0195604320607,True,False,False,True,1.25,1.25,1.25,0.75,0.75,0.970659351909,0,0.95,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00032,g554_c00032,two_factor_interaction,small,g554_pool_982161685670,0.0826323826328,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0.0616206709957,0.95,1,1,0,0.323331323331,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00033,g554_c00033,trust_region_sobol_around_hand,tiny,g554_pool_028060983084,0.213727235619,True,False,False,True,1.25,1.23265004515,1.25,0.75,0.75,0.983188011313,0.0164296804922,0.961421261734,1,1.01573563449,0,0.344392799393,0.730002214377,1,10.9098397848,1,0,0,False,False,False,False,False
g554_registry_00034,g554_c00034,trust_region_sobol_around_nearmiss,near_miss,g554_pool_083993975413,1.19143660627,True,False,False,True,1.25,1.20503562691,1.25,0.75,0.75,1.02950051075,0.330079183204,0.918344377094,1,0.969320881821,0.35,0.331808551809,0.77727513665,0.923932698129,10.4192656609,1,0,0,False,False,False,False,False
g554_registry_00035,g554_c00035,cma_es_style_offline_candidates,near_miss,g554_pool_056646084608,1.80292499297,True,False,False,True,1.25,1.18809947935,1.25,0.75,0.75,1.05100865801,0.591346476347,0.9825,1,1.04885254085,0.65,0.361503357903,0.774323056823,0.840316957265,10.2304504692,1,0,0,False,False,False,False,False
g554_registry_00036,g554_c00036,cross_entropy_elite_refits,near_miss,g554_pool_513178087507,0.805964778992,True,False,False,True,1.25,1.27956705082,1.25,0.75,0.75,0.972708201708,0.24456017706,0.936680882181,1,1.0388953239,0.2275,0.364406146406,0.809117867868,0.963606170605,10.4764471497,1,0,0,False,False,False,False,False
g554_registry_00037,g554_c00037,coordinate_descent_lines,small,g554_pool_223484863244,0.25,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,1,12,1,0,0,False,False,False,False,False
g554_registry_00038,g554_c00038,flow_wait_progress_micro_sweep,tiny,g554_pool_942158772335,0.173333333333,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1.2,0.05,0.95,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00039,g554_c00039,lambda_cong_micro_sweep,tiny,g554_pool_601189730440,0.24,True,False,False,True,1.25,1.2,1.25,0.75,0.75,1,0,0.95,1,0.8,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00040,g554_c00040,flow_shield_beta_cap_sweep,tiny,g554_pool_319775856024,0.3075,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.5,0.6,1,11,1,0,0,False,False,False,False,False
g554_registry_00041,g554_c00041,cost_clamp_micro_sweep,tiny,g554_pool_890176779247,0.716666666667,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,0.65,10,1,0,0,False,False,False,False,False
g554_registry_00042,g554_c00042,rho_decay_micro_sweep,tiny,g554_pool_434136745114,1.1,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0,0.93,0.91,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00043,g554_c00043,shrinkage_to_hand_from_risky,near_miss,g554_pool_835582153880,1.58498106674,True,False,False,True,1.25,1.13056473387,1.25,0.75,0.75,1,0.624,0.95,1,0.962992146163,0.715,0.3773,0.7305,0.948,9.57,1,0,0,False,False,False,False,False
g554_registry_00044,g554_c00044,negative_controls_wide_random,wide_diagnostic,g554_pool_159181943285,4.33215074465,True,False,False,False,1.45392295392,1.4161959162,1.51532651533,0.988347238347,1.33966658967,0.321070821071,0.554639304639,0.901009301009,0.996675896676,0.992258492258,0.111670611671,0.331638731639,1.26481226481,0.368761868762,10.5764785765,0,0,1,False,False,False,False,False
g554_registry_00045,g554_c00045,hand_legacy_midpoints,tiny,g554_pool_505675937858,1.1,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0.75,0.95,1,1,0.75,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00046,g554_c00046,one_factor_small_perturbation,tiny,g554_pool_386667951412,0.018674999928,True,False,False,True,1.25,1.27334374991,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00047,g554_c00047,two_factor_interaction,small,g554_pool_953531925804,0.05593983094,True,False,False,True,1.25,1.25,1.25,0.75,0.75,0.948967586468,0,0.95,1,1,0,0.35,0.75,0.983561333561,11,1,0,0,False,False,False,False,False
g554_registry_00048,g554_c00048,trust_region_sobol_around_hand,medium,g554_pool_089222932158,1.24801273551,True,False,False,True,1.25,1.36713071088,1.25,0.75,0.75,0.949598937099,0.111974174474,0.901602035352,1,0.943753768754,0,0.408494238494,0.793641887392,0.900346800347,12,1,0,0,False,False,False,False,False
g554_registry_00049,g554_c00049,trust_region_sobol_around_nearmiss,near_miss,g554_pool_762962957608,2.79615672335,True,False,False,True,1.25,0.943027417172,1.25,0.75,0.75,1.04617308367,1.22768852769,0.992012105762,1,1.05732236983,1.12,0.317653847654,0.778878743254,1,12,1,0,0,False,False,False,False,False
g554_registry_00050,g554_c00050,cma_es_style_offline_candidates,near_miss,g554_pool_830303069247,0.783087588245,True,False,False,True,1.25,1.23871289178,1.25,0.75,0.75,0.977274599275,0.244162639913,0.9175,1,0.984836476325,0.2548,0.34878515951,0.80949863573,1,10.9822805078,1,0,0,False,False,False,False,False
g554_registry_00051,g554_c00051,cross_entropy_elite_refits,near_miss,g554_pool_546288269167,1.93232484624,True,False,False,True,1.25,1.13381402673,1.25,0.75,0.75,1.05448748099,0.685779854533,0.9825,1,0.675,0.65,0.310735509535,0.814166471667,1,10.7172797083,1,0,0,False,False,False,False,False
g554_registry_00052,g554_c00052,coordinate_descent_lines,small,g554_pool_241713731892,0.75,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,0.4375,11,1,0,0,False,False,False,False,False
g554_registry_00053,g554_c00053,flow_wait_progress_micro_sweep,tiny,g554_pool_598201184342,0.153333333333,True,False,False,True,1.25,1.25,1.25,0.75,0.75,0.95,0.15,0.95,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00054,g554_c00054,lambda_cong_micro_sweep,tiny,g554_pool_984301944071,0.1,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1.1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00055,g554_c00055,flow_shield_beta_cap_sweep,tiny,g554_pool_935991648298,0.2675,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.5,0.65,1,11,1,0,0,False,False,False,False,False
g554_registry_00056,g554_c00056,cost_clamp_micro_sweep,tiny,g554_pool_687990621299,0.254166666667,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,0.95,10.25,1,0,0,False,False,False,False,False
g554_registry_00057,g554_c00057,rho_decay_micro_sweep,tiny,g554_pool_264064508689,1.25,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0,0.91,0.915,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00058,g554_c00058,shrinkage_to_hand_from_risky,near_miss,g554_pool_633446647178,0.0962139844884,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0.07,0.95,1,1,0.0238852542294,0.361500046,0.762394280211,1,11,1,0,0,False,False,False,False,False
g554_registry_00059,g554_c00059,negative_controls_wide_random,wide_diagnostic,g554_pool_384112008117,7.15086493836,True,False,False,False,0.583889083889,0.704822704823,1.97068047068,1.17845367845,0.576818076818,0.471217971218,0.865567115567,0.921608121608,0.923632023632,0.505781005781,1.42886092886,0.798906398906,0.526876526877,0.68562968563,11.8757958758,0,1,0,False,False,False,False,False
g554_registry_00060,g554_c00060,hand_legacy_midpoints,tiny,g554_pool_124491078103,0.146666666667,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0.1,0.95,1,1,0.1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00061,g554_c00061,one_factor_small_perturbation,medium,g554_pool_777305899817,0.5,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0,0.9,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00062,g554_c00062,two_factor_interaction,small,g554_pool_671688097018,0.40051547552,True,False,False,True,1.25,1.19562958625,1.25,0.75,0.75,1,0,0.914298085548,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00063,g554_c00063,trust_region_sobol_around_hand,small,g554_pool_417785400733,0.642309339186,True,False,False,True,1.25,1.20423753236,1.25,0.75,0.75,1.06120259245,0,0.90989967615,1,1.03176451926,0,0.361904281904,0.770354082854,0.980742718243,11.3011595387,1,0,0,False,False,False,False,False
g554_registry_00064,g554_c00064,trust_region_sobol_around_nearmiss,near_miss,g554_pool_251735232254,1.25073708596,True,False,False,True,1.25,1.30197683323,1.25,0.75,0.75,0.972566453816,0.411596530347,0.992211605962,1,0.977182352182,0.440823768353,0.324223284223,0.703632563008,1,10.7861667987,1,0,0,False,False,False,False,False
g554_registry_00065,g554_c00065,cma_es_style_offline_candidates,near_miss,g554_pool_630264754577,2.17819174918,True,False,False,True,1.25,1.29271654772,1.25,0.75,0.75,0.957561659061,0.707429214927,0.973770710971,1,0.846475430836,0.823422903153,0.388835271636,0.768433270933,1,11.185247698,0,0,1,False,False,False,False,False
g554_registry_00066,g554_c00066,cross_entropy_elite_refits,near_miss,g554_pool_515194793661,0.884679649909,True,False,False,True,1.25,1.26906794782,1.25,0.75,0.75,1.07382590383,0.178119564369,0.9175,1,0.973357126583,0.288198016103,0.320878390079,0.800866239616,0.968413010413,11.0589059863,1,0,0,False,False,False,False,False
g554_registry_00067,g554_c00067,coordinate_descent_lines,small,g554_pool_524526313307,0.35,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,1.1875,1,11,1,0,0,False,False,False,False,False
g554_registry_00068,g554_c00068,flow_wait_progress_micro_sweep,tiny,g554_pool_654773392559,0.0866666666667,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1.1,0.025,0.95,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00069,g554_c00069,lambda_cong_micro_sweep,tiny,g554_pool_036286695833,0.23,True,False,False,True,1.25,1.35,1.25,0.75,0.75,1,0,0.95,1,0.85,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00070,g554_c00070,flow_shield_beta_cap_sweep,tiny,g554_pool_471398947931,0.2275,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.5,0.7,1,11,1,0,0,False,False,False,False,False
g554_registry_00071,g554_c00071,cost_clamp_micro_sweep,tiny,g554_pool_306913038482,0.4625,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,0.7,10.75,1,0,0,False,False,False,False,False
g554_registry_00072,g554_c00072,rho_decay_micro_sweep,tiny,g554_pool_823787658520,1.3,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0,0.995,0.915,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00073,g554_c00073,shrinkage_to_hand_from_risky,near_miss,g554_pool_861752572076,1.59562185877,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0.5,0.95,1,0.879247241505,0.69386486227,0.35,0.75,1,10.5508298983,0,0,1,False,False,False,False,False
g554_registry_00074,g554_c00074,negative_controls_wide_random,wide_diagnostic,g554_pool_166775981851,5.70358809109,True,False,False,False,0.791064791065,0.734658984659,1.71535521536,0.706816956817,1.66423241423,1.06197706198,0.599234349234,0.930043730044,0.941908041908,1.49326799327,0.615335115335,0.471895671896,1.448001198,0.495688245688,8.70155670156,1,0,0,False,False,False,False,False
g554_registry_00075,g554_c00075,one_factor_small_perturbation,small,g554_pool_516093586187,0.106544628425,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,1,11.4261785137,1,0,0,False,False,False,False,False
g554_registry_00076,g554_c00076,two_factor_interaction,small,g554_pool_089277559043,0.475381844134,True,False,False,True,1.25,1.22784174347,1.25,0.75,0.75,1,0,0.995765523891,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00077,g554_c00077,trust_region_sobol_around_hand,tiny,g554_pool_887115028147,0.320866173991,True,False,False,True,1.25,1.23504913349,1.25,0.75,0.75,0.990020593146,0.0287688334563,0.970698822574,1,0.993461230961,0,0.358537198537,0.740356279419,1,10.8107039732,1,0,0,False,False,False,False,False
g554_registry_00078,g554_c00078,trust_region_sobol_around_nearmiss,near_miss,g554_pool_245812046228,2.30148549178,True,False,False,True,1.25,1.19275534901,1.25,0.75,0.75,0.960226991477,1.05078386328,0.934979808105,1,0.5,0.876718246564,0.322328992329,0.770337864088,1,10.587969838,1,0,0,False,False,False,False,False
g554_registry_00079,g554_c00079,cma_es_style_offline_candidates,near_miss,g554_pool_833642910779,0.867848169863,True,False,False,True,1.25,1.26995246871,1.25,0.75,0.75,0.975682578683,0.17670961546,0.922818721969,1,0.929814061386,0.199453401093,0.376477750478,0.783893715144,0.961924963925,10.5665585586,1,0,0,False,False,False,False,False
g554_registry_00080,g554_c00080,cross_entropy_elite_refits,near_miss,g554_pool_194148236993,2.03866704452,True,False,False,True,1.25,1.21626462501,1.25,0.75,0.75,1.06472779923,0.689792129793,0.963375211575,1,0.806304167214,0.714596545806,0.367399727,0.686707762958,0.973491283491,11.0204765003,0,0,1,False,False,False,False,False
g554_registry_00081,g554_c00081,coordinate_descent_lines,small,g554_pool_968869186045,0.4375,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00082,g554_c00082,flow_wait_progress_micro_sweep,tiny,g554_pool_531026007157,0.213333333333,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1.2,0.1,0.95,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00083,g554_c00083,lambda_cong_micro_sweep,tiny,g554_pool_766307626401,0.27,True,False,False,True,1.25,1.4,1.25,0.75,0.75,1,0,0.95,1,1.15,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00084,g554_c00084,flow_shield_beta_cap_sweep,tiny,g554_pool_673684913602,0.1875,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.5,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00085,g554_c00085,rho_decay_micro_sweep,tiny,g554_pool_862172197759,1.05,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0,0.975,0.92,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00086,g554_c00086,shrinkage_to_hand_from_risky,near_miss,g554_pool_556357994489,0.0631209072615,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0.035,0.95,1,0.997270565459,0.0464471821058,0.35,0.75,1,10.9942932614,1,0,0,False,False,False,False,False
g554_registry_00087,g554_c00087,negative_controls_wide_random,wide_diagnostic,g554_pool_082539319764,6.98466407216,True,False,False,False,0.90572040572,1.62014487014,2.17926317926,0.0611600611601,1.3152960653,1.4845979846,1.15597740598,0.912244812245,0.933754733755,0.617077117077,0.492760992761,0.489138089138,1.01833701834,0.501072501073,8.99675299675,0,0,1,False,False,False,False,False
g554_registry_00088,g554_c00088,one_factor_small_perturbation,tiny,g554_pool_919922266372,0.0176029426027,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,0.986797793048,11,1,0,0,False,False,False,False,False
g554_registry_00089,g554_c00089,two_factor_interaction,small,g554_pool_064718032741,0.1450875701,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0.0449058730309,0.95,1,1,0,0.35,0.75,1,10.5633485133,1,0,0,False,False,False,False,False
g554_registry_00090,g554_c00090,trust_region_sobol_around_hand,medium,g554_pool_589902494593,1.13999372126,True,False,False,True,1.25,1.13204072579,1.25,0.75,0.75,0.912170824671,0,1,1,1.05370657871,0,0.424798414798,0.81148956149,0.92202969703,10.2531325281,1,0,0,False,False,False,False,False
g554_registry_00091,g554_c00091,trust_region_sobol_around_nearmiss,near_miss,g554_pool_689111792841,0.842066845172,True,False,False,True,1.25,1.26748720499,1.25,0.75,0.75,0.97115986491,0.309043396543,0.922705950206,1,1.0242976618,0.0511968476064,0.371983281179,0.883023338803,1,11.3853937729,1,0,0,False,False,False,False,False
g554_registry_00092,g554_c00092,cma_es_style_offline_candidates,near_miss,g554_pool_715157393144,2.27293245647,True,False,False,True,1.25,1.19282760033,1.25,0.75,0.75,0.975274131274,0.707916520415,0.9825,1,1.04023797823,0.95322341855,0.334247073047,0.72053976054,0.972535626536,10.7448854569,0,1,0,False,False,False,False,False
g554_registry_00093,g554_c00093,cross_entropy_elite_refits,near_miss,g554_pool_295683607582,0.96535698909,True,False,False,True,1.25,1.21521396396,1.25,0.75,0.75,0.971404820405,0.169491098241,0.9175,1,0.980246246247,0.333628196492,0.315379134979,0.731464743965,0.968324831325,10.5385542686,1,0,0,False,False,False,False,False
g554_registry_00094,g554_c00094,lambda_cong_micro_sweep,tiny,g554_pool_559730047914,0.26,True,False,False,True,1.25,1.05,1.25,0.75,0.75,1,0,0.95,1,0.9,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00095,g554_c00095,flow_shield_beta_cap_sweep,tiny,g554_pool_182085038589,0.2275,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.5,0.8,1,11,1,0,0,False,False,False,False,False
