registry_row_id,candidate_id,registry_label,candidate_group,theta_cluster,source_candidate,source_context_key,bounded_updateparams,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g551_registry_551000011,repair5g551_theta_551000011,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000065,random-32-32-20|50|1820|2000|0|14650fb0739d0383,True,1.25,1.375,1.25,0.75,0.75,1,0.676906239377,0.95,1,1.13,0.622880629101,0.3885,0.9075,1,11.99,1,0,0,False,False,False,False,False
g551_registry_551000013,repair5g551_theta_551000013,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000077,random-32-32-20|50|1822|2000|0|14650fb0739d0383,True,1.25,1.3875,1.25,0.75,0.75,1,0.93,0.95,1,0.95,0.91,0.322,0.885,0.734283287597,8.90212101617,1,0,0,False,False,False,False,False
g551_registry_551000017,repair5g551_theta_551000017,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000060,random-32-32-20|50|1822|2000|0|14650fb0739d0383,True,1.25,1.475,1.25,0.75,0.75,1,0.528461888637,0.95,1,1.06,0.69208958789,0.3045,0.8325,1,10.12,1,0,0,False,False,False,False,False
g551_registry_551000020,repair5g551_theta_551000020,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000064,random-32-32-20|50|1822|2000|0|14650fb0739d0383,True,1.25,1.5,1.25,0.75,0.75,1,0.486897470429,0.95,1,1.16,0.66901993496,0.3185,0.7875,1,11.99,1,0,0,False,False,False,False,False
g551_registry_551000022,repair5g551_theta_551000022,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000103,random-32-32-20|50|1823|5000|0|14650fb0739d0383,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.729403010052,10.334414245,1,0,0,False,False,False,False,False
g551_registry_551000023,repair5g551_theta_551000023,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000104,random-32-32-20|50|1823|5000|0|14650fb0739d0383,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.784052931894,9.48643302713,1,0,0,False,False,False,False,False
g551_registry_551000024,repair5g551_theta_551000024,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000105,random-32-32-20|50|1823|5000|0|14650fb0739d0383,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.935277379445,10.0975838048,1,0,0,False,False,False,False,False
g551_registry_551000025,repair5g551_theta_551000025,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000106,random-32-32-20|50|1823|5000|0|14650fb0739d0383,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.278256193488,9.08939382121,1,0,0,False,False,False,False,False
g551_registry_551000026,repair5g551_theta_551000026,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000107,random-32-32-20|50|1823|5000|0|14650fb0739d0383,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.949527350945,11.5668568663,1,0,0,False,False,False,False,False
g551_registry_551000027,repair5g551_theta_551000027,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000108,random-32-32-20|50|1823|5000|0|14650fb0739d0383,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.308607882784,9.56857686285,1,0,0,False,False,False,False,False
g551_registry_551000028,repair5g551_theta_551000028,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000115,random-32-32-20|50|1823|5000|0|14650fb0739d0383,True,1.25,1.4125,1.25,0.75,0.75,1,0.81,0.95,1,1.05,0.83,0.329,0.915,0.68394829434,11.6294351756,1,0,0,False,False,False,False,False
g551_registry_551000031,repair5g551_theta_551000031,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000092,random-32-32-20|50|1823|5000|0|14650fb0739d0383,True,1.25,1.525,1.25,0.75,0.75,1,1.09,0.95,1,1.04,0.87,0.3885,0.9075,0.766208647927,8,1,0,0,False,False,False,False,False
g551_registry_551000032,repair5g551_theta_551000032,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000093,random-32-32-20|50|1823|5000|0|14650fb0739d0383,True,1.25,1.025,1.25,0.75,0.75,1,1.07,0.95,1,0.9,1.19,0.294,0.705,0.683202711069,11.8357745329,1,0,0,False,False,False,False,False
g551_registry_551000033,repair5g551_theta_551000033,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000098,random-32-32-20|50|1823|5000|0|14650fb0739d0383,True,1.25,1.3125,1.25,0.75,0.75,1,0.93,0.95,1,0.87,1.04,0.329,0.855,0.695972855201,11.2288117363,1,0,0,False,False,False,False,False
g551_registry_551000034,repair5g551_theta_551000034,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000100,random-32-32-20|50|1823|5000|0|14650fb0739d0383,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.639204013402,10.1125523266,1,0,0,False,False,False,False,False
g551_registry_551000035,repair5g551_theta_551000035,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000101,random-32-32-20|50|1823|5000|0|14650fb0739d0383,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.909801003351,10.7781380817,1,0,0,False,False,False,False,False
g551_registry_551000036,repair5g551_theta_551000036,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000102,random-32-32-20|50|1823|5000|0|14650fb0739d0383,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.819602006701,10.5562761633,1,0,0,False,False,False,False,False
g551_registry_551000037,repair5g551_theta_551000037,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000072,random-32-32-20|50|1824|2000|0|14650fb0739d0383,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.515824218352,9.34615730769,1,0,0,False,False,False,False,False
g551_registry_551000038,repair5g551_theta_551000038,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000073,random-32-32-20|50|1824|2000|0|14650fb0739d0383,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.811522376955,10.2541874916,1,0,0,False,False,False,False,False
g551_registry_551000039,repair5g551_theta_551000039,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000074,random-32-32-20|50|1824|2000|0|14650fb0739d0383,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.430294389411,11.9625920748,1,0,0,False,False,False,False,False
g551_registry_551000040,repair5g551_theta_551000040,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000075,random-32-32-20|50|1824|2000|0|14650fb0739d0383,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.683270383459,11.9456001088,1,0,0,False,False,False,False,False
g551_registry_551000043,repair5g551_theta_551000043,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000078,random-32-32-20|50|1824|2000|0|14650fb0739d0383,True,1.25,1.4375,1.25,0.75,0.75,1,0.88,0.95,1,1.08,0.88,0.385,0.585,0.759823575861,8.69980008399,1,0,0,False,False,False,False,False
g551_registry_551000052,repair5g551_theta_551000052,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000067,random-32-32-20|50|1824|2000|0|14650fb0739d0383,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.638507206606,10.1160466093,1,0,0,False,False,False,False,False
g551_registry_551000053,repair5g551_theta_551000053,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000068,random-32-32-20|50|1824|2000|0|14650fb0739d0383,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.909626801652,10.7790116523,1,0,0,False,False,False,False,False
g551_registry_551000054,repair5g551_theta_551000054,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000069,random-32-32-20|50|1824|2000|0|14650fb0739d0383,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.819253603303,10.5580233046,1,0,0,False,False,False,False,False
g551_registry_551000055,repair5g551_theta_551000055,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000070,random-32-32-20|50|1824|2000|0|14650fb0739d0383,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.728880404955,10.337034957,1,0,0,False,False,False,False,False
g551_registry_551000056,repair5g551_theta_551000056,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000071,random-32-32-20|50|1824|2000|0|14650fb0739d0383,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.357877534245,11.7006165988,1,0,0,False,False,False,False,False
g551_registry_551000057,repair5g551_theta_551000057,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000058,random-32-32-20|50|1823|2000|0|14650fb0739d0383,True,1.25,1.0875,1.25,0.75,0.75,1,0.528461888637,0.95,1,0.86,0.876646811327,0.378,0.7875,0.8,12,1,0,0,False,False,False,False,False
g551_registry_551000059,repair5g551_theta_551000059,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000061,random-32-32-20|50|1823|2000|0|14650fb0739d0383,True,1.25,0.975,1.25,0.75,0.75,1,0.712532883555,0.95,1,1.2,0.6997794722,0.3045,0.8475,0.93,12,1,0,0,False,False,False,False,False
g551_registry_551000065,repair5g551_theta_551000065,g550_active_search_region,non_evaluable,non_evaluable,,,True,0,0.5,0.5,0,0,0,0,0.9,0.9,0.5,0,0,0.25,0.25,8,1,0,0,False,False,False,False,False
g551_registry_551000079,repair5g551_theta_551000079,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,safe_expert_mixture_lower_usage,repair5g550_theta_550000001,,True,1.25,1.13431216672,1.25,0.75,0.75,1,1,0.95,1,0.992699831842,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g551_registry_551000080,repair5g551_theta_551000080,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,safe_expert_mixture_lower_usage,repair5g550_theta_550000002,,True,1.25,1.22107804168,1.25,0.75,0.75,1,1,0.95,1,0.99817495796,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g551_registry_551000081,repair5g551_theta_551000081,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,safe_expert_mixture_lower_usage,repair5g550_theta_550000003,,True,1.25,1.19215608336,1.25,0.75,0.75,1,1,0.95,1,0.996349915921,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g551_registry_551000082,repair5g551_theta_551000082,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,safe_expert_mixture_lower_usage,repair5g550_theta_550000004,,True,1.25,1.16323412504,1.25,0.75,0.75,1,1,0.95,1,0.994524873881,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g551_registry_551000083,repair5g551_theta_551000083,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,safe_expert_mixture_lower_usage,repair5g550_theta_550000005,,True,1.25,1.42825314349,1.25,0.75,0.75,1,1,0.95,1,0.678355643289,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g551_registry_551000084,repair5g551_theta_551000084,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,safe_expert_mixture_lower_usage,repair5g550_theta_550000006,,True,1.25,0.972530304939,1.25,0.75,0.75,1,1,0.95,1,0.567225865548,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g551_registry_551000085,repair5g551_theta_551000085,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,safe_expert_mixture_lower_usage,repair5g550_theta_550000007,,True,1.25,0.50001499997,1.25,0.75,0.75,1,1,0.95,1,0.674627650745,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g551_registry_551000086,repair5g551_theta_551000086,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,safe_expert_mixture_lower_usage,repair5g550_theta_550000008,,True,1.25,1.5407504185,1.25,0.75,0.75,1,1,0.95,1,0.719444561111,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g551_registry_551000087,repair5g551_theta_551000087,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,safe_expert_mixture_lower_usage,repair5g550_theta_550000009,,True,1.25,1.04443266113,1.25,0.75,0.75,1,1,0.95,1,0.971122057756,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g551_registry_551000088,repair5g551_theta_551000088,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,safe_expert_mixture_lower_usage,repair5g550_theta_550000010,,True,1.25,0.884763490042,1.25,0.75,0.75,1,0.91,0.95,1,1.19123979821,0.78,0.3325,0.6675,0.89,10.34,1,0,0,False,False,False,False,False
g551_registry_551000089,repair5g551_theta_551000089,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,safe_expert_mixture_lower_usage,repair5g550_theta_550000011,,True,1.25,1.33848835673,1.25,0.75,0.75,1,0.87,0.95,1,0.784232867155,0.84,0.4165,0.5925,0.84,8.91,1,0,0,False,False,False,False,False
g551_registry_551000090,repair5g551_theta_551000090,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,safe_expert_mixture_lower_usage,repair5g550_theta_550000012,,True,1.25,1.24774338339,1.25,0.75,0.75,1,0.89,0.95,1,1.07211581839,0.78,0.322,0.6,0.94,11.88,1,0,0,False,False,False,False,False
g551_registry_551000091,repair5g551_theta_551000091,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,safe_expert_mixture_lower_usage,repair5g550_theta_550000013,,True,1.25,1.37251772173,1.25,0.75,0.75,1,1.2,0.95,1,1.14160480662,0.82,0.4025,0.675,0.88,9.9,1,0,0,False,False,False,False,False
g551_registry_551000092,repair5g551_theta_551000092,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,safe_expert_mixture_lower_usage,repair5g550_theta_550000014,,True,1.25,1.3158021134,1.25,0.75,0.75,1,0.85,0.95,1,0.883502850339,1.2,0.3255,0.66,0.8,11.55,1,0,0,False,False,False,False,False
g551_registry_551000093,repair5g551_theta_551000093,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,safe_expert_mixture_lower_usage,repair5g550_theta_550000015,,True,1.25,1.33848835673,1.25,0.75,0.75,1,1.17,0.95,1,0.823940860429,1.06,0.273,0.705,1,12,1,0,0,False,False,False,False,False
g551_registry_551000094,repair5g551_theta_551000094,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,safe_expert_mixture_lower_usage,repair5g550_theta_550000016,,True,1.25,1.37251772173,1.25,0.75,0.75,1,1.06,0.95,1,0.883502850339,1.07,0.3115,0.645,1,9.57,1,0,0,False,False,False,False,False
g551_registry_551000095,repair5g551_theta_551000095,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,safe_expert_mixture_lower_usage,repair5g550_theta_550000017,,True,1.25,0.97550846338,1.25,0.75,0.75,1,0.93,0.95,1,0.903356846976,0.82,0.301,0.6525,1,9.35,1,0,0,False,False,False,False,False
g551_registry_551000096,repair5g551_theta_551000096,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,safe_expert_mixture_lower_usage,repair5g550_theta_550000018,,True,1.25,1.3838608434,1.25,0.75,0.75,1,0.95,0.95,1,1.14160480662,1.13,0.2975,0.915,1,12,1,0,0,False,False,False,False,False
g551_registry_551000097,repair5g551_theta_551000097,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,safe_expert_mixture_lower_usage,repair5g550_theta_550000019,,True,1.25,0.952822220045,1.25,0.75,0.75,1,0.96,0.95,1,0.923210843613,0.94,0.42,0.63,1,11.66,1,0,0,False,False,False,False,False
g551_registry_551000098,repair5g551_theta_551000098,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,safe_expert_mixture_lower_usage,repair5g550_theta_550000020,,True,1.25,0.952822220045,1.25,0.75,0.75,1,0.81,0.95,1,1.04233482343,0.83,0.413,0.8925,1,9.35,1,0,0,False,False,False,False,False
g551_registry_551000099,repair5g551_theta_551000099,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,safe_expert_mixture_lower_usage,repair5g550_theta_550000021,,True,1.25,1.00953782838,1.25,0.75,0.75,1,0.9,0.95,1,0.794159865474,0.93,0.406,0.8775,0.96,12,1,0,0,False,False,False,False,False
g551_registry_551000100,repair5g551_theta_551000100,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,safe_expert_mixture_lower_usage,repair5g550_theta_550000022,,True,1.25,0.986851585047,1.25,0.75,0.75,1,0.83,0.95,1,1.15153180494,1.04,0.3115,0.8175,0.83,12,1,0,0,False,False,False,False,False
g551_registry_551000101,repair5g551_theta_551000101,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,safe_expert_mixture_lower_usage,repair5g550_theta_550000023,,True,1.25,1.04356719338,1.25,0.75,0.75,1,1.11,0.95,1,0.933137841931,1.19,0.378,0.915,0.95,12,1,0,0,False,False,False,False,False
g551_registry_551000102,repair5g551_theta_551000102,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,safe_expert_mixture_lower_usage,repair5g550_theta_550000024,,True,1.25,1.06625343672,1.25,0.75,0.75,1,0.96,0.95,1,0.94306484025,1.1,0.392,0.72,0.92,8.8,1,0,0,False,False,False,False,False
g551_registry_551000103,repair5g551_theta_551000103,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,safe_expert_mixture_lower_usage,repair5g550_theta_550000025,,True,1.25,1.20237089672,1.25,0.75,0.75,1,1.12,0.95,1,1.08204281671,1.11,0.3255,0.6375,1,9.24,1,0,0,False,False,False,False,False
g551_registry_551000104,repair5g551_theta_551000104,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,safe_expert_mixture_lower_usage,repair5g550_theta_550000026,,True,1.25,1.3158021134,1.25,0.75,0.75,1,1.1,0.95,1,0.794159865474,0.86,0.3325,0.585,0.82,12,1,0,0,False,False,False,False,False
g551_registry_551000105,repair5g551_theta_551000105,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,safe_expert_mixture_lower_usage,repair5g550_theta_550000027,,True,1.25,1.29311587006,1.25,0.75,0.75,1,1.12,0.95,1,0.952991838568,0.78,0.3115,0.8175,0.93,10.45,1,0,0,False,False,False,False,False
g551_registry_551000106,repair5g551_theta_551000106,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,safe_expert_mixture_lower_usage,repair5g550_theta_550000028,,True,1.25,1.20237089672,1.25,0.75,0.75,1,1.21,0.95,1,0.863648853702,1.21,0.413,0.825,0.8,12,1,0,0,False,False,False,False,False
g551_registry_551000107,repair5g551_theta_551000107,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,safe_expert_mixture_lower_usage,repair5g550_theta_550000029,,True,1.25,0.884763490042,1.25,0.75,0.75,1,1.06,0.95,1,1.05226182175,1.13,0.413,0.6075,1,11.44,1,0,0,False,False,False,False,False
g551_registry_551000108,repair5g551_theta_551000108,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,safe_expert_mixture_lower_usage,repair5g550_theta_550000030,,True,1.25,0.998194706714,1.25,0.75,0.75,1,1.2,0.95,1,1.09196981503,1.12,0.28,0.8325,1,12,1,0,0,False,False,False,False,False
g551_registry_551000109,repair5g551_theta_551000109,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,safe_expert_mixture_lower_usage,repair5g550_theta_550000031,,True,1.25,1.3158021134,1.25,0.75,0.75,1,1.05,0.95,1,1.14160480662,0.88,0.3955,0.705,1,8.58,1,0,0,False,False,False,False,False
g551_registry_551000110,repair5g551_theta_551000110,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,safe_expert_mixture_lower_usage,repair5g550_theta_550000032,,True,1.25,1.19102777506,1.25,0.75,0.75,1,0.92,0.95,1,1.21109379485,1.14,0.4095,0.9,1,11.55,1,0,0,False,False,False,False,False
g551_registry_551000111,repair5g551_theta_551000111,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,safe_expert_mixture_lower_usage,repair5g550_theta_550000033,,True,1.25,0.952822220045,1.25,0.75,0.75,1,1.08,0.95,1,0.883502850339,0.9,0.273,0.915,1,11.44,1,0,0,False,False,False,False,False
g551_registry_551000112,repair5g551_theta_551000112,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,safe_expert_mixture_lower_usage,repair5g550_theta_550000034,,True,1.25,1.25,1.25,0.75,0.75,1,0.593777402962,0.95,1,1,0.768988430989,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g551_registry_551000113,repair5g551_theta_551000113,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,safe_expert_mixture_lower_usage,repair5g550_theta_550000035,,True,1.25,1.25,1.25,0.75,0.75,1,0.898444350741,0.95,1,1,0.942247107747,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g551_registry_551000114,repair5g551_theta_551000114,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,safe_expert_mixture_lower_usage,repair5g550_theta_550000036,,True,1.25,1.25,1.25,0.75,0.75,1,0.796888701481,0.95,1,1,0.884494215494,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g551_registry_551000115,repair5g551_theta_551000115,g550_safe_expert_mixture_candidate,safe_expert_mixture_lower_usage,safe_expert_mixture_lower_usage,repair5g550_theta_550000037,,True,1.25,1.25,1.25,0.75,0.75,1,0.695333052222,0.95,1,1,0.826741323242,0.35,0.75,1,11,1,0,0,False,False,False,False,False
